text,labels
Normal-weight subjects showed significant blood oxygen level-dependent responses in the ventromedial prefrontal cortex ( vmPFC ) to food aromas compared with responses induced by the odor of an inedible object .,3
Female : 35.6 % .,3
The use of HMS reduced the median protamine-to-heparin ratio from 1.00 ( 1.00-1 .00 ) to 0.62 ( 0.56-0 .66 ; p < 0.001 ) .,3
Nineteen patients were switched to SRL and 11 to EVL .,3
The peak ambient CO concentration detected was 150 ppm .,3
"PrEP is efficacious for HIV-1 prevention among women using DMPA and men whose partners use DMPA , suggesting PrEP could mitigate the potential increased HIV-1 acquisition and transmission risks that have been associated with DMPA use .",4
"The SSM 30 g may be an effective , noninvasive alternative to health care provider-administered intravenous , intramuscular , or oral opioids for the management of moderate-to-severe acute pain .",4
"The clinical stage , N stage , volume of GTVnx , and chemotherapy were the main prognostic factor for the OS .",4
"Use of MMC in PRK did not appear to contribute significantly to surface irregularity , transient tear-film dysfunction , or biomechanical weakening of the cornea compared with PRK without MMC .",4
"Pre-dilation with PEB angioplasty prior to BMS implantation , as compared to PTA + BMS in complex FPA lesions , reduces restenosis and target lesion revascularization at 12-month follow-up .",4
