text,labels
when i extend my leg there is pain in knee joint,4
I get i joint pain when i try to bend my leg or my arm,4
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",5
In highschool I had a lot of acne.,5
My cough is very heavy and I have mucus.,6
I feel congestion in my chest,6
"When I stretch my leg, there is pain in the knee joint",4
I get joint pain when I try to bend my leg or arm,4
"My face has painful red spots and bumps that, no matter how much I cleanse my face, don't seem to go away.",5
"In high school, I had a lot of acne.",5
My cough is very strong and I have mucus.,6
I feel a constipation in my chest,6
