text,labels
i feel joint in pain that every time i actually move,4
i still feel horrible joint pain every single time i move,4
i feel a joint shock pain every time time i move,4
i feel joint of pain about every time i hardly move,4
i still feel joint sense pain every time i am move,4
i actually feel joint pain from every time i really move,4
"no i can't i move my damaged leg, there there is pain in between the joint",4
"i can'won t only move around my leg, there is real pain in just the joint",4
"i unfortunately can't move my leg, there too is a pain radiating in at the joint",4
"because i can't move on my bad leg, there is pain digging in around the joint",4
"if i can't t anymore move my injured leg, there is terrible pain in the joint",4
"i simply can't move from my leg, so there too is pain in the bone joint",4
i did have pimples in two patches and along that with a lot sort of redness still on my face.,5
i have some pimples in some patches along all with wearing a lot type of redness on my full face.,5
i must have big pimples hidden in patches now along with a lot now of redness on half my face.,5
plus i have pimples set in certain patches along with a great lot else of redness somewhere on my face.,5
i do have pimples back in patches tonight along with almost a lot of angry redness on half my face.,5
oh i have pimples in different patches along and with a lot of darker redness on virtually my whole face.,5
my chest lungs break out with new red fever pimples below and whiteheads.,5
made my chest break it out with red pimples there and rusty whiteheads.,5
although my chest can break out with red skin pimples today and whiteheads.,5
and my bare chest did break out with red hot pimples and whiteheads.,5
my ripped chest break inside out wet with red pimples and empty whiteheads.,5
my chest can break it out with ugly red fake pimples and whiteheads.,5
"i have whooping cough along with mostly excess nasal mucous, probably need more mucolytic.",6
"i have bad whooping night cough with an excess mucous, we need some mucolytic.",6
"i must have this whooping cough with an excess muscle mucous, so need mucolytic.",6
"i have whooping organic cough together with excess organic mucous, so need like mucolytic.",6
"i have enough whooping my cough smell with much excess mucous, need some mucolytic.",6
"i have started whooping my cough mixed with excess mucous, causing need for mucolytic.",6
i bloody cant not breathe,6
i truly cant quite breathe,6
but i boy cant breathe,6
i also cant bloody breathe,6
i sure cant just breathe,6
in i bloody cant breathe,6
