text,labels
"The bulldog gets it done.  I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good reason, they last!  You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've played a few games of Fluxx and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly made...it's really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 health points aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This was an amazing game when I first got it... a million years ago or so.  Funny thing is, they were talking about Diablo 2 in developement back then, but I didn't see it for at least another 2 and a half years...If you happen to be running a computer that is older than dirt, go ahead and buy this game, I think it is great, but it is way past it's time.  As a matter of fact, I think I saw someone playing it the last time I was in Amish country.",23
"The bulldog gets it done.  I can't say enough about g this tool.  Its done everything good I've asked it to do. From hammering through a 8 in slab, to even drilling through  8 in block.Of course, I don't use it everyday like a contractor, but – I'de imagine for that kind up of complicated use, I'de buy one of the bigger bosch hammers for everyday punishment.  "" The bits are somewhat pricey, but for good reason, because they last!  You will your only probably need to go buy them once.For occasional to medium use,  this is a winner!",21
"The bulldog gets it done.  I can't say enough about this guys tool.  Its really done everything I've asked it to do. /// From hammering through a 8 in slab, to drilling holes through  8 in block.Of course, I don't use it everyday much like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are a somewhat pricey, but for good reason, they last!  You will only probably be need enough to buy them once.For very occasional to only medium use,  this is a winner!",21
"The bulldog gets it done.  But I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in limestone block.Of course, I don't use - it everyday like a professional contractor, but I'de imagine for that kind of use, I'de buy one of the bigger metal bosch hammers for everyday punishment.  The bits themselves are somewhat pricey, but for good reason, they wont last!  You guys will only probably need to buy them again once.For occasional to medium use,  this hammer is a winner!",21
"The bulldog gets it it done.  I can't say enough about this tool.  Its done everything I've asked the it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, maybe I don't use it everyday like a contractor, but I'de definitely imagine for just that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good luck reason, they actually last!  You guy will only probably need one to buy them once.For occasional to or medium use,  this is a winner!",21
"The bulldog gets it things done.  I still can't say enough about this tool.  Its done everything I've a asked it to do. From hammering nails through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for really that kind of industrial use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are ~ somewhat bit pricey, but for good reason, _ they last!  You will only probably need to buy them once.For occasional to medium use,  absolutely this is a winner!",21
"The bulldog gets get it done.  I can't say enough about this this tool.  \ Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't actually use it necessarily everyday like a contractor, but I'de imagine for that kind of use, I'de should buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat of pricey,, but for no good reason, they last!  ¶ You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and much prestigious name, this saw won't hold a spare blade! My first big one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this simple comment: &quot;Yeah, we still get a lot of great complaints about that.&quot;  But Duh! Tried it one last time and -- the steel motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no less such major problems -- it's a honey.",21
"Despite the hefty price tag and prestigious name, this electric saw won't hold a blade! My current first one wouldn't... and neither probably would the replacement Home Office Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: : &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it working one last time and -- the motor went dead out!  I finallly bought the regular top-of-the-line Craftsman (made by Bosch) standard and no further such problems -- it's a honey.",21
"Despite the hefty price tag and prestigious name, this saw won't ever hold a blade! My first one wouldn't... and neither would make the replacement Home Depot gave me. Nothing I did would make a blade not stay in. Call to the saw factory elicited this Facebook comment: &quot;Yeah, and we only get a lot of buyer complaints about that.&quot;  Duh! Tried it one last time and -- literally the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- But it's a honey.",21
"Despite the current hefty price tag and prestigious name, this saw won't hold like a blade! My first one wouldn't... and neither would would the last replacement Home Depot gave me. Nothing I once did outside would ever make a blade stay in. Call to check the factory elicited this comment: &quot;Yeah, we get a lot of complaints about fixing that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made totally by Bosch) and no such problems -- it's a honey.",21
"Despite the hefty price tag and its prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I physically did would make a live blade stay in. Call to the factory elicited this comment: &quot;Yeah, personally we get into a lot of complaints about that.&quot;  Duh! Tried turning it one last time and -- the motor still went out!  I finallly bought only the top-of-the-line Craftsman 2 (made by Bosch) version and no such problems -- it's a honey.",21
"Despite the hefty asking price tag and prestigious name, this saw won't hold under a blade! My first metal one wouldn't... – and neither would the second replacement Home Depot gave me. Nothing I did would ever make a blade stay in. Call back to the factory specifically elicited this comment: &quot;Yeah, we get a lot of of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Tom Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will forever now play it with anyone else who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to to all be prepared to play for 30 minutes hours or more hours in order to finish a good full game.  If you bump the table and jar the tiles, it can really lead to chaos if already the game is fairly mentally far-along.  Overall, however, I can highly recommend it, even for adults.",22
"My daughter began playing this game at age 6.  She will now play quite it with anyone who offers!  It certainly is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to really be prepared to play for 30 minutes or longer more in order to finish a full game.  If you may bump the table and fall jar the tiles, it can really lead to chaos if the game is run fairly far-along.  Overall, however, r I still highly recommend playing it, even for adults.",22
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is both challenging enough and fun for adults as well.  The only small downsides are that you need a fairly large, flat surface to create the tile patterns, � and you need to be prepared to play for 30 minutes or so more in the order to finish a full tabletop game.  If you bump the table and jar the tiles, it can really lead to huge chaos if the game is fairly far-along.  Overall, however, again I highly recommend it, something even for adults.",22
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging — and fun for adults as well.  The only downsides are both that you need a fairly large, flat surface to create the tile drawing patterns,   and you need to actually be prepared to play for approximately 30 minutes or more in order just to finish out a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game board is fairly far-along.  Overall, however, ‎ I highly recommend it, even for adults.",22
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides sometimes are that you need a normal fairly large, flat surface to create the best tile stacking patterns, and you need children to be prepared to play for 30 minutes or more in order to be finish a full game.  If you bump the table and jar the tiles, then it can really lead you to chaos if the game is still fairly far-along.  Overall, however, I say highly recommend it, even for adults.",22
"My daughter began playing this game at age under 6.  She will always now play half it with most anyone who offers!  It is challenging and fun for adults as well well.  The only downsides are that you need a fairly large, flat surface to create all the tile patterns, and you need to be prepared to play for several 30 minutes or much more in order to finish a full game.  – If you bump the table and jar the tiles, it sometimes can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've only played a few games of Fluxx and actually while it is easy to learn and play, it just isn't a very exciting poker game. The idea that whatever the goal continually changes is neat, but it continually changes tactics so often you really have no internal way even to strategize. Sometimes It ends up coming down to holding cards in your hand that you can't play so another player won't win, and until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx chess style game but I assume all of them are very similar in nature.",22
"We've played a solid few games of Fluxx and while it is easy enough to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to actually holding cards in your own hand that you can't play so that another player won't win, until you have to play something to end of the perfect game. Thankfully it wasn't very super expensive. This is my first Fluxx style game ever but I assume all of them will are very similar in nature.",22
"We've played a few games of Fluxx before and while it is easy to learn and initially play, it just isn't a very exciting game. The idea of that the return goal continually changes is neat, but it continually changes so often you really soon have no way to strategize. It ends up coming down to holding cards in your hand that you can't play today so another player won't even win, until you somehow have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game experience but I assume all of them are very similar in that nature.",22
"We've played back a few games like of Fluxx and while it generally is easy to learn and play, it just isn't always a very exciting game. The idea that the goal continually changes significantly is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play them something other to end the game. Thankfully it wasn't very particularly expensive. This is actually my first Fluxx style game but I assume it all of them are very similar in nature.",22
"We've played very a few games of Fluxx and and while it overall is easy to learn fast and play, it just isn't a very exciting game. The idea that the goal continually effect changes is neat, but it continually changes so often you really have no way to strategize. It ends up up coming down mainly to holding cards in your hand that the you can't play or so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are all very similar in nature.",22
"We've played a few games of Fluxx lately and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way ever to strategize. It often ends up almost coming somewhat down often to holding cards floating in your hand that you can't play so another player won't win, just until you have to play something bad to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I currently assume all of them are very similar in nature.",22
"This game was also very poorly made...it's really boring, because all you do anyways is walk around and throw stuff at things. All the enemies are exactly the same, there's practically never any health, and 100 health points simply aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the actual screen is nothing but fog, and it all just slowly draws in as slowly you walk ahead, making it hard to see enemies. I do like actually seeing the old familiar South Park characters in 3D, the game world is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This game was very poorly made...it's really boring, because all you do here is walk around town and throw stuff at things. All the enemies are exactly the same, there's never any health, and your 100 health points just aren't enough, because the health goes down too fast. The sight of range is also ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I honestly do like seeing the familiar South Park characters now in 3D, the game is very funny, and the weapons are hilarious! But still, I just wouldn't ever buy it. Rent at your most.",23
"This game was very poorly made...it's very really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 quick health points simply aren't enough, because half the health goes down too fast. The sight of range is also ridiculous because half the screen is nothing but fog, and it all just draws in as you rapidly walk ahead, making it hard to see enemies. I would do like only seeing half the familiar South Park characters in 3D, since the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
