text,labels
I feel joint pain entire time I move,4
I feel joint pain every time I budge,4
I feel joint pain every time I budge,4
I feel joint pain every moment I move,4
I feel joint heartbreak every time I move,4
I feel collective pain every time I move,4
"i can't move my leg, there is heartbreak in the joint",4
"i can't move my leg, there is painless in the joint",4
"i can't move my leg, there is pain in the communal",4
"i can't budge my leg, there is pain in the joint",4
"i can't move my leg, there is pains in the joint",4
"i can't move my leg, there is heartache in the joint",4
I have pimples in patches along with a lot of redness on my confronting.,5
I have pimples in patches along with a lot of redness on my confront.,5
I have pimples in patches along with a lot of redness on my encounter.,5
I have pimples in patches along with a lot of blush on my face.,5
I have acne in patches along with a lot of redness on my face.,5
I have pimples in patches along with a lot of redness on my confronted.,5
My chest break out with red poppers and whiteheads.,5
My chest blackout out with red pimples and whiteheads.,5
My chest break out with red buttons and whiteheads.,5
My chest breaks out with red pimples and whiteheads.,5
My chest blackout out with red pimples and whiteheads.,5
My chest break out with red poppers and whiteheads.,5
"i have whooping cough with excess mucous, necessary mucolytic.",6
"i have whooping cough with excess mucous, gotta mucolytic.",6
"i have whooping cough with surpluses mucous, need mucolytic.",6
"i have whooping cough with excess mucous, requisite mucolytic.",6
"i have whooping cough with excess phlegm, need mucolytic.",6
"i have whooping cough with excess phlegm, need mucolytic.",6
i becuase breathe,6
i theres breathe,6
i dunno breathe,6
i didnt breathe,6
i dunno breathe,6
i isnt breathe,6
