text,labels
I feel joint pain every time I move,4
"i can't move my leg, there is pain in the joint",4
I have pimples in patches along with a lot of redness on my face.,5
My chest break out with red pimples and whiteheads.,5
"i have whooping cough with excess mucous, need mucolytic.",6
i cant breathe,6
I feel ont in every time I mo,4
I el int pi every time I move,4
I feel joint pn every me I mo,4
I fe jon pain ery time I move,4
I feel joint pi every tm I oe,4
I ee jin pain vey time I move,4
"i can ' t me my leg, ere is an in the jin",4
"i can ' t me my leg, ter is pi in the jit",4
"i can ' t me my leg, her is ai in the jot",4
"i can ' t mv my leg, the is in in the ont",4
"i can ' t ov my leg, her is pi in the jon",4
"i can ' t ov my leg, ter is in in the jit",4
I ha pimples in pchs aon wi a lot of rnes on my face.,5
I have ipls in pche aog it a lot of rens on my face.,5
I ve pmps in patches alo wt a lot of rdns on my face.,5
I he impe in pacs alo ih a lot of redness on my face.,5
I ae pmpl in pchs log with a lot of redness on my fe.,5
I ha mpes in patches log with a lot of rees on my ae.,5
My chest rek out wh red pimples and hieheds.,5
My hes break out wt red pimples and wteeads.,5
My chs bra out with red pimples and hteheds.,5
My het eak out wi red pimples and whiteheads.,5
My chest rea out wi red pimples and wteeads.,5
My hes rek out with red pmes and whiteheads.,5
"i ha whooping cough with excess ucou, ne muclyt.",6
"i have hoing cgh wi excess mucous, ed mucolytic.",6
"i have whooping cough ih exes muos, need ucolyi.",6
"i he whopn cough wh excess muco, need mucolytic.",6
"i ha whooping ogh with exes mucous, need uclyic.",6
"i ve whooping cog wt xces mucous, need mucolytic.",6
i cant bree,6
i cn breathe,6
i cant beae,6
i nt breathe,6
i cant breh,6
i cant bree,6
