text,labels
"The bulldog gets it done.  I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good reason, they last!  You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've played a few games of Fluxx and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly made...it's really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 health points aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This was an amazing game when I first got it... a million years ago or so.  Funny thing is, they were talking about Diablo 2 in developement back then, but I didn't see it for at least another 2 and a half years...If you happen to be running a computer that is older than dirt, go ahead and buy this game, I think it is great, but it is way past it's time.  As a matter of fact, I think I saw someone playing it the last time I was in Amish country.",23
"The bulldog gets it done. I ' t say enough about this tool. Its done everything I ' ve asked it to do. From a 8 in slab, to drilling through 8 in block. Of course, I don ' t it everyday like a contractor, but I ' imagine for that kind of use, I ' de buy one of the bigger bosch hammers for punishment. The bits are somewhat pricey, good reason, they last! You will only probably need buy them once. For occasional to medium use, this a winner!",21
"The gets it done. I can ' t say enough about this tool. Its done everything I ' ve asked it to do. From hammering through a 8 slab, to drilling through in block. Of course, I don ' t it everyday a contractor, but I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers for punishment. The bits are somewhat, but for reason, they last! You will only probably need to buy them. For occasional to medium use, is a winner!",21
"The bulldog gets it done. I can ' t say about this tool. Its done everything I ' ve asked it to. From hammering through a 8 in slab, to through 8 in block. , I don ' t use everyday like a contractor, but I ' de imagine for that kind of use, I ' de buy one the bigger bosch hammers for everyday punishment. bits are somewhat pricey, but for good reason, they last! You will only probably need to buy them once. to medium use, this is a winner!",21
"The bulldog gets it done. I can ' t say enough about this tool. Its done everything I ' ve asked it to do. From hammering a in slab, to drilling 8 in block. Of course, I don ' t use everyday like a contractor, but I ' imagine for that of use, ' de buy one the bigger bosch hammers for everyday. The bits are somewhat pricey, but for good reason, they last! You will only probably need to buy them once. For occasional to medium use, this is a!",21
"The gets it done. I can ' t say enough about this tool. Its done everything I ' asked to do. From through a 8 in slab, to drilling through 8 in block. Of course, I don ' t use it everyday like a contractor, but I ' de imagine for that of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits somewhat pricey, but for good, they last! You will only probably need to buy them once. occasional to medium use, a winner!",21
"The bulldog gets it. can ' t say about this tool. Its done everything I ' ve asked it do. From hammering through a 8 in slab, to drilling through 8 in. Of course, I don ' use it everyday like a contractor, but I ' de imagine for that kind of use, I ' de one of the bigger bosch hammers everyday punishment. The bits are somewhat, but for good reason, they last! You will only probably need to them once. For occasional to medium use, this is a winner!",21
"Despite the hefty price tag and prestigious, this saw won ' t hold a blade! My one wouldn '. .. and neither would the replacement Home Depot gave me. Nothing I would make a blade stay in. Call to the factory this comment: & quot; Yeah, we get a lot complaints about that. &; Duh! it one last time and - - the motor went out! I finallly bought the top - of - - line Craftsman (made by Bosch) and no such - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold blade! My first one wouldn ' t. .. neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call factory elicited this comment: & quot; , we get a lot of complaints about. & quot; Duh! it one last time and - - the motor went out! I bought the top - of - the - line Craftsman (made by) and such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this won ' t hold a! My first one ' t. .. and neither would the replacement Home Depot me. I did make a blade stay in. Call to the factory elicited this comment: & quot; Yeah, we a lot of complaints. & quot; Duh! Tried it last time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"Despite the price tag and prestigious, this won ' t hold a blade! My first one ' t. .. and neither would the replacement Home Depot gave. Nothing I did would make a blade stay in. Call to the factory this comment: & quot; Yeah, we a lot of complaints about that. & quot; Duh! Tried one last and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a! My first one ' t. .. and neither would the replacement Home Depot me. Nothing I did would make a blade stay in. to the factory elicited this comment: & quot; Yeah, we get lot of about that. &; Duh! Tried it one last time and - - motor went out! I finallly the top - of - the - line Craftsman (made by Bosch) and no such - - it ' s a honey.",21
"Despite the hefty price and prestigious, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the replacement Home Depot gave me. I did would make a blade in. Call the factory elicited this comment: & quot; Yeah, we get a lot of complaints about. & quot; Duh! Tried it one last time and - - the out! finallly bought the top - of - - line Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"My daughter playing this game at. She will now play it with anyone who offers! It challenging and fun for adults as well. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and need to be prepared to play for minutes or more in order to finish a full game. you bump the and jar the, it can really to chaos if the game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"My daughter began playing this game at age. She will now play it with anyone who offers! It is challenging fun for adults as well. only downsides are that you need a large, flat surface to create the tile patterns, you need to be prepared to play for 30 minutes or more in order to finish a full game. you bump the table jar the tiles, it can really lead to chaos if the game is far -. Overall, however, I highly recommend it, even for.",22
"My daughter began playing this game at age 6. She will now play it anyone who offers! It is challenging and fun for adults as well. The only downsides are that you need a large, flat surface to create the tile patterns, and you need be prepared to play for 30 minutes or more order finish full game. If you bump the table and jar the tiles, it can really lead to chaos game is far - along. Overall, however, I recommend it, even for adults.",22
"My began playing this game at age 6. will now play it with who offers! It is challenging and fun for adults as well. The are that you need a fairly large, flat surface to create the tile patterns, you need to be prepared to play for 30 minutes or more in order to finish a full game. you bump table and jar the tiles, can really lead to chaos if the game is fairly far - along. Overall, however, I highly recommend it, for adults.",22
"My daughter began this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides are that you need a fairly large, flat surface to create the tile, and you need to be to play for minutes or more in order to finish a full game. If bump the table and jar the, it can really lead to chaos if the game is fairly - along. Overall, however, it, even for adults.",22
"My daughter began playing this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides that you a fairly large, surface to create the tile patterns, you need to be prepared to play for 30 minutes or in order to finish a full game. If bump the and jar the tiles, can really to chaos the game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a exciting game. The idea that continually changes is neat, but it continually changes so you really have no to strategize. It ends up coming down to holding cards in your hand that you can ' t play so another player won ' t win, until you have to play something to end the. Thankfully wasn ' t expensive. This is my first style game but I assume all of them are very similar nature.",22
"We ' ve played a few of Fluxx and while it is easy learn and play, it just ' t a very exciting game. The idea that the goal continually changes is neat, it continually so often you really no way to strategize. It ends up coming down to holding cards in hand that you can ' play so another player won ' t win, until you have to something to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are very similar nature.",22
"We ' played a few games of Fluxx and while it is easy learn and play, just isn ' t a exciting game. The idea that the goal changes is neat, but it changes often you really have no way to. It ends up coming down to holding cards in your hand that you ' t play so another player won ' t win, until you have to play something to the game. Thankfully it wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"We ' ve played a few games of Fluxx while it is to and play, it just ' t very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming to holding cards in your hand that you can ' play so another player ' t win, you have to play something to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are very in nature.",22
"We ' ve played a few games of Fluxx and while it is to learn and play, it just ' t a very exciting game. The that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to cards your hand that can ' t play so another player won ' t win, until you have to play something to end the game. Thankfully it wasn ' t expensive. my first Fluxx style game but I assume of them are very similar in nature.",22
"We ' a few games Fluxx and while is easy to learn and play, it just isn ' t a very exciting game. idea the goal continually changes is neat, but it continually changes so often you really have no to strategize. It ends up coming down to holding cards in hand that you can ' t play so another player won ' t win, until you have to play something to end the. Thankfully it wasn ' t very expensive. This is my Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly. .. it ' s boring, because all you is walk around and throw at things. All the enemies are exactly the same, there ' s never any health, and 100 health points aren ' t enough, because the health goes down too fast. The sight of range is because half the screen is nothing but fog, it all just draws in as you walk ahead, it hard to see enemies. I do like seeing familiar South Park characters in 3D, the game is very funny, and weapons are hilarious! But still, I wouldn ' t buy it. at most.",23
"This game was very poorly made. .. it ' s really boring, because all you do is walk around and throw stuff things. All the enemies are exactly the same, ' s never any health, and 100 health points aren ' t enough, because health goes down too fast. The sight of range is because half the screen is nothing but fog, and it all just draws in as you ahead, making it hard see enemies. I do like seeing the South Park in 3D, the game is very funny, and weapons are hilarious! But still, I wouldn ' t it. Rent at most.",23
"This game was very poorly made. .. it ' s really boring, because all do is walk around and stuff at things. All the enemies are exactly same, there ' s never any health, and 100 health points ' t enough, because the health goes down too fast. The sight of is ridiculous because the screen is nothing but fog, it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing familiar South Park characters 3D, the game is very funny, and the weapons are hilarious! still, I wouldn ' t buy it. Rent at most.",23
"This game was very poorly made. .. it ' s really boring, because all you do is walk around and throw stuff at things. All enemies are exactly the same, there ' never any health, 100 health points aren ' t enough, because the down too fast. The of range is because half the screen is nothing but fog, and it all just draws in as you walk, making it hard to see enemies. I do like seeing the familiar South characters in 3D, the game is very funny, and the weapons are hilarious! But still, wouldn ' t buy it. Rent at most.",23
"This game was very poorly made. .. ' s really boring, because all you do is walk around and throw at things. All the enemies are exactly the same, there ' s never any health, and health points aren ' t enough, because the health goes down fast. The of range is ridiculous because half the screen is nothing but fog, and it all just draws in as walk ahead, making it hard to see. do like seeing the familiar South Park characters in 3D, the game is very funny, and the are hilarious! But still, I wouldn ' t buy it. Rent most.",23
"This game was very poorly made. .. it ' s really boring, all you walk and stuff at things. All the enemies are exactly the same, there ' s never any health, and 100 health points aren ' t enough, because the health goes down too fast. The sight of range is ridiculous because the screen is nothing but fog, and it all just draws as you walk ahead, making it hard to see enemies. I do like the familiar South Park characters in 3D, the game is very funny, and weapons are hilarious! But still, I wouldn ' buy it. Rent at most.",23
"This an amazing game when I first got it. .. million years ago or so. Funny thing is, they were about Diablo 2 in developement then, but I didn ' t see it for at least another 2 and a half years. .. If you happen to be running a computer that is than dirt, go ahead and buy this game, think it is great, but it is way past it ' s time. As fact, I think I saw someone playing the last time I was in Amish country.",23
"This was an amazing game when I first it. .. a million years ago or so. Funny is, they were talking about 2 back then, but I didn ' t see it for at least another 2 and a half years. .. If you happen to be running a computer that older than dirt, go ahead and buy this game, think it is great, but is way past it ' s time. As a matter of fact, think I someone playing it the last time I was in Amish country.",23
