text,labels
when i extend my leg there is pain in knee joint,4
I get i joint pain when i try to bend my leg or my arm,4
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",5
In highschool I had a lot of acne.,5
My cough is very heavy and I have mucus.,6
I feel congestion in my chest,6
when i extend my leg pain knee,4
when i leg there is in joint,4
i my leg is in knee joint,4
i extend my leg is in knee joint,4
when i extend leg there in joint,4
when i my there is pain knee,4
I when i try bend my leg or my arm,4
Get i joint pain when i to bend or arm,4
I get i joint pain to my leg or arm,4
Get pain when i to bend my leg or my,4
I i joint i try to bend my leg or,4
I get i joint bend my leg or my arm,4
"My face broken out painful red and lumps, no how much I clean my face don ' to away.",5
"My face has broken out in painful spots lumps, that no I don ' t seem be going away.",5
"My face out in painful red spots and lumps, no matter how I my don ' seem to be.",5
"Face has broken out painful red spots and lumps, matter much clean my face ' t to be going.",5
"My face has broken painful red, that no much I face don ' t seem to be going away.",5
"My has broken red spots lumps, that no matter how much clean my don ' t seem be going.",5
In I a lot of.,5
In I had lot acne.,5
Highschool I had lot of acne.,5
Highschool I a lot of.,5
Highschool I had lot of acne.,5
In highschool lot of acne.,5
My cough is very I mucus.,6
Cough is heavy and have mucus.,6
My is heavy and I mucus.,6
My very heavy and I mucus.,6
Cough is and I have mucus.,6
My cough is very have mucus.,6
I feel in my,6
I in my chest,6
I congestion in my,6
I feel in chest,6
I feel congestion in,6
Feel in my chest,6
