text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I feelal a stiffness in my el$boOws and sHhoulHder5s,4
I *felCl a stGifwf&ness in my elxbowFs and shoulders,4
I hfYell a &stiffngescs in my belbo)ws and shoulders,4
I fdeOll a s%t!iffnezss in my elb2ow1s and shoulders,4
I Kfpell a PsYtiff1ness in my elbows and Tshouldeirys,4
I fbelMl a sAtYiffneXss in my eVlbodws and shoulders,4
i hpavae a pain in my elLbosw j7oinpt,4
i Jh2ave a pa&ixn in my elbow 7jo@int,4
i have a Ppai7n in my elb!oCw jPotint,4
i have a pa_icn in my eGlbo)w jSogint,4
i ahbave a %pavin in my el(baow joint,4
i Oha(ve a pain in my elbcoWw j*oin_t,4
My son has a lot of Ua6cne.,5
My son has a lot of ya9cne.,5
My son has a lot of dacnEe.,5
My son has a lot of Xacyne.,5
My son has a lot of Iacnfe.,5
My son has a lot of aclnHe.,5
I can ' t get a MgirNlfdriend lbecgaucse of my Vacnne.,5
I can ' t get a #girlwfmriend 0bezcaumse of my acAnke.,5
I can ' t get a girRl_frie!nd b9e+caNuse of my 0acFne.,5
I can ' t get a giIrlfriOennd wbeca(uqse of my sacn7e.,5
I can ' t get a gir5lkfrieMnd becaPufs9e of my atcn5e.,5
I can ' t get a ghirlMfrienWd becaBuRs2e of my aMc_ne.,5
I feel fluDiBd tryAinBg to Hcomje up Hwhekn I cough.,6
I f2ee8l flu3isd JtryNing to come up when I Bco^ugh.,6
I fieeSl fluid tryNinsg to come up Fwhe$n I icouCgh.,6
I feel flpui3d tryVixng to ctoqme up when I FcTough.,6
I fWeYel fluid trying to bc5ome up wh5eVn I coAuJgh.,6
I LfeFel flguihd tryGijng to come up 8whhen I cough.,6
i capn4t breathe,6
i rcarnt breathe,6
i fcannt breathe,6
i Mcafnt breathe,6
i cant bSrehathre,6
i cant ebr^eathje,6
