text,labels
I feel joint pain every time I move,4
"i can't move my leg, there is pain in the joint",4
I have pimples in patches along with a lot of redness on my face.,5
My chest break out with red pimples and whiteheads.,5
"i have whooping cough with excess mucous, need mucolytic.",6
i cant breathe,6
I feel joint pain Trafficking every Adi time I lemon move,4
I feel Chemed joint pain every Automotive time I Oakland move,4
Apatu I feel joint pain By every Dalby time I move,4
I Leshy feel AbilityOne joint seeded pain every time I move,4
I feel joint Pup pain every time Sister I F### move,4
Jordi I Climpson feel OpenSolaris joint pain every time I move,4
"OH i dekha can ' t Swindon move my leg, IDI there is Nikola pain in the joint",4
"molecular i can ' Brazeale t beds move Equine my leg, there is pain in the communal joint",4
"i can ' t Shell move my ESTHER leg, Chequered there is protruding pain Consilient in the joint",4
"##:##:## i can ' t CitiExpress move my Industry leg, there is reliever pain in the Fosten joint",4
"i can ' t move #-###-DOMETIX my Fever leg, Charlie there inscriptions is Ng'etich pain in the joint",4
"i can ' t move JEFF my AVTOVAZ leg, Craniosynostosis there is sixgame pain in the Kenneth joint",4
I toothy have pimples Vicor in patches along with a lot of WBRW redness on Grugger my computerworld.com face.,5
I pictured have pimples in TIM patches ALL along Sundsvall with a lot of redness Pat on my face.,5
I have manager pimples Lozanova in Diamond patches along with a lot Drama of residue redness on my face.,5
El I have Flowfinity pimples Jurineack in patches along with Scheele a lot of redness on my metadata face.,5
I have pimples in Jule patches Buddy along Traveling with a Sandor lot Croydon of redness on my face.,5
I have Olore pimples in patches along Primawave with a lot cosmetic of CASH redness NewBay on my face.,5
My researcher chest vaccination break out X with red pimples and whiteheads.,5
My MOBILE chest break out with red human pimples and Kurt whiteheads.,5
My 8 chest WCVM break Mathias out with red pimples and whiteheads.,5
My chest break out with factor red brassy pimples and Maxo whiteheads.,5
Takeru My chest break faxing out with red 2D pimples and whiteheads.,5
Yangus My chest Jan break featuring out with red pimples and whiteheads.,5
"i have whooping Specialist cough W. with Tim excess mucous, need Sophia mucolytic.",6
"i curated have whooping microcircuitry cough Oscar with excess mucous, catalyze need mucolytic.",6
"i have whooping cough Savas with www.electrolux.com excess Acquire mucous, need Johnny mucolytic.",6
"i Idol have Barrancas whooping cough interdealer with excess mucous, need Saad mucolytic.",6
"Gaziyev i have wipro whooping cough mixed with Dave excess mucous, need mucolytic.",6
"Hristos i have whooping cough with rider excess Rs##.## mucous, need Mulraney mucolytic.",6
i Col. cant breathe,6
AXIOSS i cant breathe,6
@ i cant breathe,6
SembCorp i cant breathe,6
i cant superficial breathe,6
i yoga cant breathe,6
