text,labels
I reeK joiJ% pain Rvert time I move,4
I fd3l joiMG pain every Y7me I move,4
I feel jojbt laiH evWrg time I move,4
I fesp j9ibt pain every time I mlvd,4
I f@fl jiijt La9n every time I move,4
I Gesl jk9nt pain every time I mLCe,4
"i can ' t mIGe my leg, %Gere is 0aiG in the j9ijt",4
"i can ' t <oCe my leg, tte#e is pxiM in the joiBg",4
"i can ' t NPve my leg, thed# is pAun in the moiGt",4
"i can ' t moC4 my leg, ^her@ is LaiB in the j0iGt",4
"i can ' t jlve my leg, RNere is pAJn in the Yoimt",4
"i can ' t m*vW my leg, tbe5e is paUb in the jPiHt",4
I made oinplRs in OatcGeX along wifj a lot of redness on my bac$.,5
I hQv$ limpl$q in patches along w9tt a lot of %edB#ss on my eade.,5
I Mav# pkmpOFs in pZtfhws a<onY w74h a lot of redness on my face.,5
I YaGe pimples in 9a4Fhes a/ojg wltj a lot of 3ecnWss on my face.,5
I hWvf 0lNples in pqtcMeD al*nY with a lot of redness on my Rac$.,5
I yQve pih9/es in patches allnn ai^h a lot of geEneas on my face.,5
My Vh$st break out with red pJJLles and wmjteheQds.,5
"My chfsH break out AiRh red pi,O.es and whiteheads.",5
"My shesR break out with red )i,pIes and wh*4eheadz.",5
My ch$sh break out with red Lim(Kes and whitDhesVs.,5
My cbFst brRaI out with red pimples and whigeheaCA.,5
My FhRst break out with red pO<Oles and AhiHeMeads.,5
"i hxv# wh9o9iHg cough with exfezs mucous, Gefd mucolytic.",6
"i have whooping FoIgh SitM excess mucous, neFx m tcolytJs.",6
"i ySve whooping coJgG QiRh excess mucous, need m7cooytix.",6
"i haF3 !hkIping cough with esdess mucous, need mIcolttif.",6
"i bace whooping cough wJtN excess mucous, n3Fd KjcolytiV.",6
"i have wMiopinR co6gG wiRg excess mucous, neDf mucolytic.",6
i cant Ne3athe,6
i csnf breathe,6
i cant breaHUD,6
i cant breagYw,6
i cant bf#aRhe,6
i fwnt breathe,6
