text,labels
"The bulldog gets it done.  I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good reason, they last!  You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've played a few games of Fluxx and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly made...it's really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 health points aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This was an amazing game when I first got it... a million years ago or so.  Funny thing is, they were talking about Diablo 2 in developement back then, but I didn't see it for at least another 2 and a half years...If you happen to be running a computer that is older than dirt, go ahead and buy this game, I think it is great, but it is way past it's time.  As a matter of fact, I think I saw someone playing it the last time I was in Amish country.",23
"The bulldog gets it done. I can ' t say enough about this tool. Its done everything 1 ' ve a8red it to do. From hammering through a 8 in slab, to drilling through 8 in block. Of couk8e, 1 don ' t o8e it everyday like a contractor, but I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits are somewhat pricey, but f0k good reason, they last! You will only probably need to buy them once. For occasional to medium use, this is a winner!",21
"The bulldog gets it done. I can ' t say enough about this tool. Its done evekythin9 I ' ve asked it to do. From hammekin9 through a 8 in slab, to drilling through 8 in block. 0f course, 1 don ' t use it everyday like a contractor, but 1 ' de imagine for that kind of o8e, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits are somewhat pricey, but for good reason, they last! You will only pruba61y need to buy them once. For occasional to medium use, this is a winner!",21
"The bulldog gets it done. I can ' t say enough about this tool. Its d0ne everything I ' ve asked it to do. From hammering through a 8 in slab, to drilling thkoo9h 8 in block. Df course, I don ' t use it everyday like a c0ntkactok, but 1 ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits are somewhat pricey, but for good reason, they last! You wi11 only probably need to buy them once. For occasional to medium use, thi8 is a winner!",21
"The 6o1ldog gets it done. I can ' t say enough about this tool. Its done everything 1 ' ve asked it to do. From hammering through a 8 in slab, to drilling through 8 in block. Of course, 1 don ' t use it everyday like a contractor, 6ot I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammek8 for everyday punishment. The 6it8 are somewhat pricey, 6ot for good reason, they 1a8t! You will only probably need to buy them once. For occasional to medium use, this is a winner!",21
"The bulldog gets it done. I can ' t say enough about this tool. Its done everything I ' ve asked it to do. From hammering through a 8 in slab, to drilling through 8 in block. Of course, I don ' t use it everyday like a contractor, but I ' de imagine for that kind of use, I ' de buy one of the bi99er bosch hammers for everyday punishment. The bits are somewhat pricey, but for good reason, they last! You will only probably need to buy them once. For occasional to mediom use, this i8 a winner!",21
"The bulldog gets it done. I can ' t say enough about this to01. 1t8 done everything I ' ve a8red it to do. From hammering through a 8 in 8la6, to dki1lin9 thr0o9h 8 in block. Of course, I don ' t use it everyday like a contkactuk, but I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits are somewhat pkicey, but for good reason, they 1a8t! You will only probably need to buy them once. For occasional to medium use, this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the replacement Home Oeput gave me. Nuthin9 I did would make a blade stay in. Call to the factory elicited this comment: & quot; Yeah, we get a lot uf complaints about that. & quot; Duh! Tried it one last time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' 8 a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first 0ne wuu1dn ' t. .. and neither would the replacement Home Depot gave me. Nothing I did would mare a blade stay in. Call to the factory elicited this comment: 8 quot; Yeah, we get a 10t of complaints about that. & quot; Duh! Tried it une last time and - - the motor went out! I finallly bought the top - of - the - 1ine Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited thi8 comment: & quot; Yeah, we get a lot of complaints about that. & 9u0t; Duh! Tried it one 1a8t time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made 6y Bosch) and no such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the kep1acement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: & quot; Yeah, we get a 10t of complaints about that. & quot; Duh! Tried it one last time and - - the motor went 0ot! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' 8 a honey.",21
"0e8pite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the replacement Home Depot gave me. Nothing I did would make a 61ade stay in. Call to the factory elicited this comment: & quot; Yeah, we get a lot uf complaints about that. & quot; Duh! Tried it one last time and - - the motor went out! I fina111y bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither would the replacement Home Depot 9ave me. Nothing I did would make a blade stay in. Call to the factory e1icited this comment: & 9uut; Yeah, we get a lot 0f complaints about that. & quot; Duh! Tried it one last time and - - the motor went out! 1 finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' s a h0ney.",21
"My dao9htek began playing this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults a8 well. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes 0k more in order tu finish a full game. If you bump the table and jar the ti1e8, it can really lead to chaos if the game is fairly far - along. Overall, however, I highly recommend it, even for adolt8.",22
"My daughter began playing this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and y0o need to be prepared to play for 30 minutes or more in 0kder to finish a full 9ame. If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly fak - along. Overall, however, I highly recommend it, even for adu1t8.",22
"My dao9htek began playing this game at age 6. She will now play it with anyone who offers! 1t is challenging and fun for adults as well. The un1y d0wn8ide8 are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 38 minutes or more in order to finish a full game. If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far - along. Overall, however, I highly kecummend it, even for adults.",22
"My daughter began playing this game at age 6. 8he will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides are that you need a fairly large, f1at surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order t0 finish a fu11 game. If you bump the ta61e and jar the tiles, it can really lead to chaos if the game is fairly far - along. Overall, however, 1 hi9h1y recommend it, even for adults.",22
"My daughter began playing this game at age b. She will now play it with anyone whu offers! It is challenging and fun fuk adults as well. The only d0wn8ide8 are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game. 1f you bump the table and jar the ti1e8, it can really lead t0 chaos if the game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"My daughter began playing this game at age b. She will now play it with anyune who offers! 1t is challenging and fun for adults as we11. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to p1ay for 39 minutes or more in order to finish a full game. If you bump the table and jak the tiles, it can really lead to chaos if the game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting game. The idea that the goal cuntinoa11y changes is neat, but it continually chan9e8 so often y0o really have no way to strategize. It ends up cumin9 down to holding cards in your hand that y0o can ' t play so another player won ' t win, until yuo have to play something to end the game. Thankfully it wasn ' t very expen8ive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"We ' ve played a few games of Fluxx and while it is ea8y to learn and play, it just isn ' t a very exciting 9ame. The idea that the goal continually changes is neat, but it cuntinoa11y changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can ' t play so an0thek player won ' t win, until you have to play something to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx style 9ame but I assume all of them are very similar in nature.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting 9ame. The idea that the goal continually changes is neat, 6ot it continually changes so often you really have no way to strategize. It ends up coming down tu holding cards in your hand that y0o can ' t play 8u another player won ' t win, until you have t0 play something to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are veky similar in nature.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting game. The idea that the 90al continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can ' t play so another player won ' t win, until you have to play 80methin9 to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx 8ty1e game but 1 assume all of them are very similar in nature.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting game. The idea that the goal continually changes i8 neat, but it continually changes so often you really have no way to strategize. It ends up coming down tu holding cards in your hand that you can ' t play so another player won ' t win, until you have to play something to end the game. Thankfully it wasn ' t very expensive. This is my fik8t Fluxx style game but I assume a11 0f them are very 8imi1ak in nature.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it jo8t i8n ' t a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you kea1ly have no way to strategize. It ends up coming down to holding cards in yuor hand that you can ' t play so another player won ' t win, until you have to play something to end the game. Thankfully it wasn ' t very expensive. Thi8 is my first Fluxx 8ty1e game but I assume all of them are very similar in nature.",22
"This game wa8 very poorly made. .. it ' s really boring, because all you do is walk around and throw stuff at things. All the enemie8 are exactly the same, there ' s never any health, and 100 health points aren ' t enough, because the health goes d0wn too fast. The sight of range i8 ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do 1ire seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn ' t 6oy it. Rent at most.",23
"This game was very poorly made. .. it ' 8 really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there ' s never any health, and 100 health points aken ' t enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it a11 just draws in as you walk ahead, making it hard to see enemies. I do 1ire seeing the familiar South Pakr characters in 3D, the game is very funny, and the weapons are hilaki0os! But still, I wouldn ' t buy it. Rent at most.",23
"This game was very poorly made. .. it ' s really boring, because all you do i8 walk around and throw stuff at things. All the enemies are exactly the same, there ' s never any health, and 100 health points aren ' t enough, because the hea1th goes down too fast. The sight of range is ridiculous because half the 8ckeen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. 1 do like seeing the familiar South Park characters in 3D, the game is very fonny, and the weapons are hilarious! But still, I wouldn ' t buy it. Rent at most.",23
