text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I fell a stiffness in my el6uws and shoulders,4
I fell a stiffness in my el60ws and shoulders,4
1 fell a 8tiffne88 in my elbows and shoulders,4
I fell a stiffness in my elbows and shuolder8,4
I fell a stiffness in my elbows and shoo1der8,4
1 fe11 a 8tiffne88 in my elbows and shoulders,4
i have a pain in my elbow j0int,4
i have a pain in my e1buw juint,4
i have a pain in my elbow juint,4
i have a pain in my elbow joint,4
i have a pain in my elbow j0int,4
i have a pain in my elbow j0int,4
My son has a 1ut 0f acne.,5
My 8un ha8 a lot of acne.,5
My son has a 1ut of acne.,5
My son ha8 a lot of acne.,5
My son has a 1ut of acne.,5
My son ha8 a 10t uf acne.,5
I can ' t get a girlfriend 6ecao8e of my acne.,5
I can ' t get a 9ik1friend 6ecao8e of my acne.,5
1 can ' t get a 9iklfkiend because 0f my acne.,5
I can ' t get a 9ik1friend because of my acne.,5
I can ' t 9et a girlfriend 6ecao8e of my acne.,5
I can ' t get a 9iklfkiend because of my acne.,5
1 fee1 fluid trying to c0me up when I cough.,6
1 feel fluid tkyin9 tu come up when 1 cough.,6
1 feel fluid trying tu come op when I cough.,6
I fee1 f1oid tkyin9 to come up when I c0u9h.,6
1 feel fluid trying to come op when 1 cough.,6
I feel fluid tkyin9 to c0me op when I cough.,6
i cant breathe,6
i cant breathe,6
i cant 6keathe,6
i cant 6keathe,6
i cant breathe,6
i cant breathe,6
