text,labels
"The bulldog gets it done.  I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good reason, they last!  You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've played a few games of Fluxx and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly made...it's really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 health points aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This was an amazing game when I first got it... a million years ago or so.  Funny thing is, they were talking about Diablo 2 in developement back then, but I didn't see it for at least another 2 and a half years...If you happen to be running a computer that is older than dirt, go ahead and buy this game, I think it is great, but it is way past it's time.  As a matter of fact, I think I saw someone playing it the last time I was in Amish country.",23
"The bulldog gets ity done. I can ' t say enough about this tool. Its done everything I ' ve asked it to do. From hammering through ein 8 in slab, to drilling through 8 in block. Of course, I don ' t use it everyday like a contractor, but I ' de imagine for thats kind of use, Il ' De buy one of the bigger bosch hammers for everyday punisment. The bits aer somewhat pricey, bt for good reason, they last! You woll only probably need to buy them once. For occasional to medium use, this is a winnier!",21
"The bulldog gets it done. I can ' t say enough aboute this tool. It done everything I ' ve asked it to do. From hammering through a 8 in slab, tou drilling through 8 in block. Of courese, I dog ' t use it everyday like a contractor, but I ' de imagine for thai kind of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The bits are somewhat pricey, but for good reason, they lase! Yor will only probably neen to buy them once. For occasional tho medium use, this is a winner!",21
"The bulldog gets it done. hi canottle ' t say enough abot this tool. Its done everything I ' and asked it to do. From hammering through a 8th in slab, to drilling thru 8 in block. Of course, Im don ' t use it everyday like a contractor, but I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers fot everyday punishment. The bits are somewhat pricey, but fol good reason, they last! You will only probably need to buy them once. For occasional to medium use, this ske a winner!",21
"The bulldog gets iy done. I can ' t say enough about this tool. Its done everything I''m ' and aked it to do. From hammering through a 8 in slab, to drilling through 8 in blook. Of course, i don ' t use it everyday like a contractor, but I ' de imagine for tthat kind of use, I ' de buy own of the bigger bosch hammers for eveday punishment. The bits are somewhat pricey, but for good reason, they last! You will only probably need to buy them once. For occasional to meddium use, this is a winner!",21
"The bulldog gets it done. J an ' t say enough about this tool. Its done everything I ' ve asked it to do. Frond hammering trougth a 8 in slab, to drilling through 8 in black. Of course, I don ' t use it everyday like a contractor, but I ' de imagine for that kind of use, I ' de buy 1one ot the bigger bosch hammers for everyday punishment. The bits are somewhat pricey, but for good reason, they lasth! You will only probably need th buy them once. For occasional to medium use, these is a winner!",21
"The bulldog gets it done. I can ' t say enough about this tool. Its done everything I ' ve asked it to do. From hammering through a 8 in slab, take drilling through 8 in block. Of course, I don ' t use it everyday like a contractor, but I ' die imagine for that kaind oof use, I ' de buy one of the begger bosch hammers for everyday punish. The bits are somewhat pricey, but by gut reazon, they laste! You will only probably need to buy them once. For occasional to medium use, this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw wan ' t hold a blade! My fisrt one wouldn ' t. .. and nither would the replacement Home Depot gave me. Nothing I did whould make at blade stay nin. Call to the factory elicited this comment: & quot; Yeah, Wue get a lot of complaints about that. & quot; Duh! Tried i't one last time and - - the motor wen out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' a a honey.",21
"Despite the hefty price tag and prestigius name, this saw won ' t hold a blade! My first onw wouldn ' t. .. and neither would the replacement Home Depot gave me. Nothing I' did would make a blade stay in. Call to the factory elicited tis coment: & quot; Yeah, we getn a lot of complaints about that. & quot; Duh! Tried it one last timt and - - the motor went out! I finallly both ht top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' S a honey.",21
"Dispite the hefty price tag and prestigious name, thid see won ' t hold an blade! Ni first one wouldn ' t. .. and neither would the replacement Home Depot gave met. Nothing I did would make a blade stay in. Call to thay factary elicited thie comment: & quot; Yeah, we get a lot of complaints about that. & quot; Duh! Tried it one last time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' is a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' t hold a blade! My first one wouldn ' t. .. and neither whould the replacement Home Depot gave e. Nothing I did would male a blade ste in. Call to the factory elicited this comment: & quot; Yeah, wen get a lots of complaints about that. & quot; Duh! Tried it one last time als - - the motor went out! I finallly boght the tog - os - the - line Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this sai won ' t hold a blade! My first one wouldn ' t. .. aand neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to hthe factory elicited this comment: & quot; Yeah, he get a lot fi comlainings about that. & quot; Duh! Tried it one lasr time and - - the motor went aut! I'm finallly bought the top - of - dth - line Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw own ' t hold a blade! My first one wouldn ' to. .. and neither would the replacement Home Depot gave me. Nothing J did would make a blade stay in. Call to thi factory elicited this comment: & quot; Yeah, we get o lote of complaints about that. & quot; Duh! Tried it one last time and - - the motor wnt put! I finallly bought tehe top - of - the - laine Craftsman (made by Bosch) and no such problems - - it ' s a honey.",21
"My daughter began playing this game at adge 6. She will now piay is with anyone who offers! It is challenging Ande fun for adults sa well. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need tto be prepared to play for 30 minutes on more de other to finish a full game. If you bump the table and jar the tiles, it can really leed to chaos if the game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"My daughther began playing this game at age 6. She will now play it with anyone who offerts! It is challenging ando fun for adults as well. The noly downsides are that you need a fairly large, flat surface to create the tile patterns, and yoou meed to be prepared to play for 30th minutes or more in order to finish a full game. If gou bump the TABLE and jar the tiles, it can really lead to chaos if the game is fairly far - along. Overall, howere, I highly recommend it, even for adults.",22
"My dougher began paly this gamke im age 6. She will now pay it with anyone who offers! It is challenging in fun for adults as well. The only downsides are that you need a fairly large, flat surface to create thez tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game. If you pump the table and jar the tiles, i can really lead to chaos if the game is fairfly far - along. Overall, however, I highly recommend it, even for adults.",22
"My daughter began playning this geme at age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides are that yours need a fairly large, flat surface to create tje tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game. If you bump the thable and jar the tlles, it can really lead yo chaos if the game is fairaly far - along. Overall, howere, I highly remend it, even for adults.",22
"My daughter began playing this game at age 6. She will now paly it with anyone who offerts! It is challenging and fun for aldults as well. The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to ba prepareted to plaing for 30 minutes or more in order two finish a full game. If you bump the table and jar the tlles, it canottle really lead to chaos if the game is fairl far - along. Overall, however, I highly recommend it, even for adults.",22
"Ni daughter ben playing this game at age 6. She will new play it with anyone who offers! It is challenging and funs for adults as well. The only downsides ard that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or mory in order to finish a full game. Ibf you pump the table and jar the tiles, it can reaaly lead to chaos if the game is fairly far - olong. Overall, however, I highly recommend it, even for adults.",22
"We ' ve played a few games of Fluxx and while it é easy to tearn and plying, it just isn ' t a veruy exciting game. The idia that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards ina your hand that you can ' t play so another player won ' t win, until you have to play someyhing to end Then game. Thankfully it wasn't ' t very expensive. This is mys first Fluxx style game but I assume all of them are very similar in nature.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting geme. The idea that the goal continually charges is neat, but it continually changes so oten you really have no way o strategize. It ends up coming down to helding cards in your hand thate you can ' t play so another playes won ' to win, until you have to play something to end the game. Thankfully it wasn ' t very expensive. Ths is my first Fluxx style game but I assume all of them approxmatlly very similar in nature.",22
"We ' ve played a few gamse of Fluxx and while it in easy to learn and play, it just isn ' t a very exciting game. The idea that the goal continually changes isn't neta, but it continually changes so often your really hanve no way to strategize. It ends up coming down to holding cards in your hand that you can ' t play so another player won ' t wine, until you have to play something to end the game. Thankfully i wasn ' t very expensive. This is my first Fluxx style game but I assume all iof them ard very similar in nature.",22
"We ' ve played a few games of Fluxx and whyle it is easy to learn ane play, it just isn ' t ein very exciting game. The idea that the goal continuely changes id neat, but it continually changes so opten you really have no way to strategize. It ends up coming dowen to holding cards in your hand that you can ' t play to another player won ' t win, until you have to playe something to end the game. Thankfully it wasn ' t very expensive. This is my first Fluxx stily game but I assume all of them are very similar in nature.",22
"We ' and played a few games of Fluxx and while it is easy de learn and play, it just isn ' t a very exciting game. The idea that the goal continually changes is neat, but it continuely changes soy often you really have no way to strategize. It ends up coming down to holding cars in your hand that you can ' t play so another player won ' t win, until you have to play sometihing to end to game. Thankfully t wasn ' th very expensive. This is my first Fluxx style game but I assume all of them are nery similar in nature.",22
"We ' and played s few games of Fluxx and while it is easy to learn and play, it just isn ' t a wery exciting game. The idee that the goal continually chages i'ts neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand thath o can ' t play so another player won ' t win, until you have to play something to end tle game. Thankfully il wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This geme was very poorly made. .. it ' s really boring, because all you do is walk around and thorw stuff at things. All the enemys are exactly the same's, there ' s never any health, and 100 health points aren ' t anough, because the health goes down too fastly. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in us you walk ahead, making it hard ho see enemys. I do like seeing the familiar South Park characters in 3D, the game is ery funny, and the weapons are hilarious! But still, I wouldn ' t buy it. Rent at most.",23
"This gema was cery poorly made. .. it ' s really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there ' so never any heathy, and 100 health points area ' t enough, because the health goes down tool fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you path ahead, making it heard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn ' t buy iy. Rent at more.",23
"This game was very poorly made. .. it ' a really boring, because all you di is walk around and throw stuff at things. All the enemies are exactly the same, there ' s never any health, anad 100 heathy points aren ' t enough, because the health goes down too fast. The sight of rage is ridiculous because half the screen is noting but fog, and it all just draws in as you walk ahead, making t harding to see enemies. I do like seeing the familiar South Park chartectes in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn ' at buy it. Rent at most.",23
"This geme was very poorly maked. .. it ' is really boring, because all you do is walk around in throw stuff at things. All the ennemies are exacly the same, there ' s never ang health, and 100 health points aren ' t enough, beccause the health goes down too fast. The sight oh range is ridiculous because half the screen is nothing but fog, en it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn ' t buy it. Rent at most.",23
