text,labels
I fHAl joint pain every s+me I kovJ,4
I Zeen jjinz pain every time I #(ve,4
I feel joint 0a4n @veIy Ci)e I move,4
I feel Jotnt MaTn every time I m2Ie,4
I fWjl joint pain every !im5 I m)vM,4
I feel joint pain eveLj t#mn I mWwe,4
"i can ' t mPv& my leg, tt^re is saln in the joiax",4
"i can ' t m^9e my leg, th^(e is peiz in the iKint",4
"i can ' t mBv5 my leg, tRerh is paP$ in the jTHnt",4
"i can ' t Qov% my leg, t2*re is paI4 in the jolnE",4
"i can ' t mob5 my leg, tQerC is ZaiB in the joanH",4
"i can ' t moqe my leg, Vhece is pQiJ in the Y8int",4
I haa8 pimUl*M in patches b_ong with a lot of cednel# on my fYoe.,5
I have ui^ples in p9tchA2 aboLg with a lot of re^0esA on my fa0e.,5
I haQ3 pimples in patb2eZ along wiRh a lot of red%esv on my Sac%.,5
I have pfmpVws in FatcNeo along xiWh a lot of reen7Qs on my faYc.,5
I hEv! pimples in $a#ch9s olonN with a lot of zedne8O on my fa^M.,5
I KaQe pimJT^s in V+(ches along with a lot of VedOeQs on my fJue.,5
My chest 4meak out with red pomvxes and whitehpab6.,5
My cheje break out with red p(mIlas and whiUe5ea+s.,5
My chTs! qreaM out with red oiMSles and whiteheads.,5
My chest yreak out w&t7 red Wi*Ules and whiteheads.,5
My ph0st break out wiz3 red p)mpl0v and whiteheads.,5
My chps0 break out with red pimyieQ and wh_tTheMds.,5
"i have whooping corg7 with eycesj Pucour, n8e9 mucolytic.",6
"i h9Ge whooping cough with excess muc4As, Jeee H3+olytic.",6
"i fa9e whooping co$gh with excess mucous, ntPd mi(olQtic.",6
"i have e+oopinz czug) wis8 excess mucous, nJfd mucolytic.",6
"i ha0d whooping cough with excess #ucZus, Heem mucoa*tWc.",6
"i #avk qhoosine cough with eMcegs mucous, keet mucolytic.",6
i cant brJat63,6
i cant b#eaLhC,6
i cjut breathe,6
i kTnt breathe,6
i cant bMealCe,6
i cant Wmea^he,6
