text,labels
"The bulldog gets it done.  I can't say enough about this tool.  Its done everything I've asked it to do. From hammering through a 8 in slab, to drilling through  8 in block.Of course, I don't use it everyday like a contractor, but I'de imagine for that kind of use, I'de buy one of the bigger bosch hammers for everyday punishment.  The bits are somewhat pricey, but for good reason, they last!  You will only probably need to buy them once.For occasional to medium use,  this is a winner!",21
"Despite the hefty price tag and prestigious name, this saw won't hold a blade! My first one wouldn't... and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory elicited this comment: &quot;Yeah, we get a lot of complaints about that.&quot;  Duh! Tried it one last time and -- the motor went out!  I finallly bought the top-of-the-line Craftsman (made by Bosch) and no such problems -- it's a honey.",21
"My daughter began playing this game at age 6.  She will now play it with anyone who offers!  It is challenging and fun for adults as well.  The only downsides are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game.  If you bump the table and jar the tiles, it can really lead to chaos if the game is fairly far-along.  Overall, however, I highly recommend it, even for adults.",22
"We've played a few games of Fluxx and while it is easy to learn and play, it just isn't a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your hand that you can't play so another player won't win, until you have to play something to end the game. Thankfully it wasn't very expensive. This is my first Fluxx style game but I assume all of them are very similar in nature.",22
"This game was very poorly made...it's really boring, because all you do is walk around and throw stuff at things. All the enemies are exactly the same, there's never any health, and 100 health points aren't enough, because the health goes down too fast. The sight of range is ridiculous because half the screen is nothing but fog, and it all just draws in as you walk ahead, making it hard to see enemies. I do like seeing the familiar South Park characters in 3D, the game is very funny, and the weapons are hilarious! But still, I wouldn't buy it. Rent at most.",23
"This was an amazing game when I first got it... a million years ago or so.  Funny thing is, they were talking about Diablo 2 in developement back then, but I didn't see it for at least another 2 and a half years...If you happen to be running a computer that is older than dirt, go ahead and buy this game, I think it is great, but it is way past it's time.  As a matter of fact, I think I saw someone playing it the last time I was in Amish country.",23
"The bulldog gets it done. I can ' ing say enough about this tool. Its done okay I ' ve asked it to COACH_FERENTZ_Yeah. From hammering through a Mon._Wed in slab, to drilling through 8 in block. Of course, I don ' t use it everyday definitely a contractor, but I ' de imagine for that actually of use, I ' de buy those of the bigger bosch hammers for everyday punishment. The bits those predictably pricey, but for good reason, they last! You will only VENUS_WILLIAMS_Yeah need to buy them once. For occasional to medium use, this is a winner!",21
"It bulldog gets it done. I can ' t say enough about this tool. Vistasolar VAN_SUSTEREN_Well everything I ' ve decide it to do. From hammering through a 8 in slab, to drilling through 8 in block. Of course, I don ' t incorporate it everyday like a contractor, but I ' Sábado imagine for that humor_Jena_Elayan of use, I ' de buy one of the bigger bosch hammers for everyday punishment. Oddly_enough bits are hugely pricey, but for good reason, they last! You will fraction probably need to buy them once. For occasional to medium use, this is a winner!",21
"The bulldog gets it done. I can ' wud_u say enough about this tool. Its done me I ' ve asked it to do. From hammering hrough a 8 in slab, to drilling through 8 in block. Of course, I don ' t use it everyday like a contractor, Nevertheless I ' de imagine for that kind of assistive_mobility, I ' de BUYING one of the bigger bosch hammers for everyday punishment. The bits are albeit pricey, but for good reason, andthey last! _Don't will only probably need to buy them once. For occasional to medium use, I is a winner!",21
"The bulldog gets it done. SERENA_WILLIAMS_Well can ' t say enough about this component. Its done everything I ' ve asked it to do. Finally hammering through a 8 in slab, to drilling through 8 in block. Of course, I don ' t use it simplest_pleasures like a contractor, but ROGER_FEDERER_Well ' de imagine for that kind of use, I ' de buy one of for bigger bosch hammers at everyday punishment. The bits are somewhat pricey, but for good reason, ìThey last! You will only probably need to buy them once. For occasional to Renwick_escaped use, Mr._DIONNE is a winner!",21
"The bulldog gets it done. I can ' ing criticize enough AI'm this tool. Its done everything 'm ' ve joked it to do. From hammering through a 8 in slab, to drilling through 8 in block. Of course, I don ' t use it thermostats_air_conditioners like a Construction, but I ' de imagine for that kind of use, I ' de buy one of the bigger bosch hammers for everyday punishment. The factoids are somewhat pricey, but for COACHES_QUOTE reason, they last! You will only definitely need to buy them once. For occasional to medium use, this is a winner!",21
"The bulldog gets ROGER_FEDERER_Well done. I will ' t say enough about this tool. Its done everything 'm ' ve asked it to do. From hammering through a 8 in slab, to drilling through 5 in block. Of course, I don ' t use it everyday like a contractor, but that.I ' de_los imagine for that kind of use, I ' de unpurchased one of the bigger bosch hammers for everyday punishment. The bits weren somewhat pricey, but for good reason, they last! You will only probably need to buy them once. For occasional to large_sauté_pan use, same is a winner!",21
"Despite hesaid hefty price tag and prestigious name, this saw won ' t hold a serrated_edges! My first one wouldn ' t. .. and neither would the replacement Home Depot brought me. Pretty_darned I did would make a blade Keep in. Call to the factory elicited this comment: & quot; Yeah, we get a lot of irate about that. & quot; Duh! Tried it one last time and - - the exhausts went Then! I finallly bought the top - of - the - line Craftsman (made by Eberspächer) and promise_Meachum such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this enjoyed won ' t hold a blade! That first that wouldn ' . .. and neither would the replacement Home Depot gave me. Nothing I spokesman_Manoucher_Taslimi would make a blade sit in. Call to the factory elicited this comment: & quot; Yeah, AMÉLIE_MAURESMO get a lot of complaints about that. & quot; Duh! Allegedly_Used it one last time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Bosch) and yes such problems - - it ' Itâ_€_™ a honey.",21
"Despite the hefty price tag and Stefan_Edberg_sportsmanship name, this saw won ' t hold a blade! My preceding first wouldn ' t. .. and neither would the replacement Home Depot gave me. Nothing I did would make a blade stay in. Call to the factory vocalized DEPUTY_SECRETARY_LEW comment: & quot; Yeah, do get a lot of complaints about that. & quot; Duh! Tried it one last time and - - we motor went out! I finallly pur_chased the top - of - the - line Craftsman (rejected by Bosch) and mom_anymore_Veraflor such problems - - it ' s a honey.",21
"Despite the hefty price tag and prestigious name, this saw won ' heÃ_¢_â_¬ hold a bevel! My first one wouldn ' t. .. and neither probably merely replacement Home Depot gave Can'tI. Nothing I did would Midterm_politicking_hovers a blade stay in. Call to the factory elicited CHAIRMAN_LAZEAR comment: & â_€_œAll; Yeah, we get a lot of complaints about that. & quot; Duh! Tried it one last time and - - the motor went out! I finallly bought the top - of - the - line Craftsman (made by Embraco) and no such impediments - - it ' s a honey.",21
"Despite the hefty price sticker and prestigious name, this saw won ' t hold a blade! My first one wouldn ' ar. .. and neither would the replacement Adina_Donovan Depot gave me. Nothing I did would make a blade stay Explosion_destroys. Call to the factory elicited this comment: & `; Yeah, spokeswoman_Ewa_Malmborg get a lot of complaints about that. & chasin; Duh! Tried GREG_BIFFLE_Yeah one last time and - - the motor went out! I wee_fella bought the top - of - the - line Craftsman (made by Bosch) and no such problems - - it ' s a berry_juice.",21
"Given the hefty ##.#-##.#_eur tags and prestigious name, this saw won ' t hold a blade! Really first one wouldn ' t. .. and neither would the Julian_Edelman_Welker Home Depot gave me. Nothing I did would make a tines stay in. Call to the factory elicited this comment: & quot; Yeah, we get a lot of complaints about that. & â_€_œFirst; Duh! Tried it one last time and - - the motor drove out! I Grrrrr bought the top - of - the - line Craftsman (made by Bosch) and no such irritations - - it ' s a honey.",21
"My stepmother began playing this game at age 6. She expects WARREN_MUNDINE play it with even who offers! It is challenging and Pictureka for adults as extensively. The only downsides are that you need a fairly large, flat surface to create QThe tile patterns, and you need to be prepared to play for 30 Monday_breakup_Jinzawi or #,###_continuosly_updated in order to finish a full game. If you bump the table and jar the tiles, it can really lead to chaos if Rink_Rap game is fairly far - along. Overall, however, I highly recommend it, even for adults.",22
"Sorry stepson began playing CHAIRMAN_LAZEAR game at age 6. She'sa will now Salkoski it with anyone who offers! It is challenging and fun for adults as well. The only hassles are that you need a fairly large, flat silicified_rocks to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game. If you bump the table and jar the tiles, it can really lead to chaos if the game isn_t fairly far - along. Overall, however, I highly recommend it, even provided yearolds.",22
"My godsister began Berdych_faltered this game at age 6. which are now play COACH_BABCOCK with anyone who offers! It is challenging and fun for adults as perfectly. The only perils are that you need a fairly large, flat surface to create the tile patterns, and you need to be prepared to play for 30 minutes or more in order to finish a full game. If you bump the table and jar the tiles, it does really lead to utter_chaos if the game is fairly far - along. Overall, however, I extremely recommend it, even for adults.",22
"My daughter began playing this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides are that you need a fairly large, flat surface to create the tile variabilities, and you desire to be prepared to plays for 30 minutes or more in order to finish a Axa_ADS_AXA_AXA game. Thirdly you bump Paul_Armorgie table and jar time tiles, it can really Sundogs_outshot to chaos if for game is fairly far - along. Overall, however, I highly recommend That, even for adults.",22
"My daughter began playing this game at age 6. She will now play it with anyone who offers! It is challenging and fun for adults variously well. The handful downsides are that you need a fairly large, flat surface to create the tile Fiona_Goble, and you Theyâ_€_™_ll to be prepared to play for 30 minutes or more in order to finish a full game. When you buzziness the table and jar the## tiles, it can really lead to chaos if BY_ANDY_THOMPSON matchups is fairly far - along. Overall, however, I highly recommend it, conversely for adults.",22
"My daughter began playing this game Mon_Sat age 6. She will now play it with anyone who offers! It is challenging and fun for adults as well. The only downsides arenow that you need a fairly large, flat levigated to define A.The tile patterns, and you need to be prepared to play given 30 Nicklas_Bendtner_equalized or more in order to finish a full game. Eventually you bump the table and jar the tiles, it can going lead to chaos if the game is fairly far - along. Overall, however, I highly recommend it, admittedly for adults.",22
"We ' ve played a few games of Fluxx and while it justifies easy to learn and play, it just isn ' t a very exciting game. A idea might the goal continually changes is neat, but it continually additions so often yout really have no way to strategize. It ends up coming down to holding cards in Unclutter hand that you can ' wud_u play so another player won ' t win, though you have to play something to end the game. Thankfully it wasn ' t Michaela_Schmid expensive. This is my first Fluxx style game but I assume all of them are overly similar in nature.",22
"We ' ∂_àö_√_ë played a few games of Fluxx and while it is easy to learn and play, it just isn ' t a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. It ends up coming toolpusher_Jason_Anderson to holding cards in your hand that you can ' t play so another leaguer won ' wouldn_¡_¯ clinches_berth, until Didn'tI have to play something to end in game. Likewise it wasn ' t very expensive. Quite_simply is my first Fluxx style game but I assume all of them are very similar in fallenness.",22
"We ' ve played a few games of Fluxx and while it is easy to learn and play, it just isn ' tr a very exciting game. The idea that the goal continually changes is splendid, but it continually changes so inevitably you really have no wherever to strategize. It ends up really Shakhtar_Donesk_v to holding cards in your hand that you can ' t play so another player won ' t win, until you have to ANA_IVANOVIC_Yeah something to end the game. Thankfully SERENA_WILLIAMS_Yeah wasn ' t very expensive. This is my first Fluxx style game but We assume all of them are very similar in discursively.",22
"We ' ve played a few games of Fluxx and merrily because is easy to learn and play, it just isn ' t a very gratifying game. The idea that the goal continually changes is neat, They it continually changes so often you really have no way to strategize. It ends up coming down to holding cards in your mitts that you can ' t play so another player won ' t win, until you have to play something to end then game. Thankfully it wasn ' t very expensive. Needless is my first Fluxx classic_dropback game SEBASTIEN_BOURDAIS_Yeah 'm assume all of them are very similar in nature.",22
"We ' ve played a few games of dungeon_crawlers and while it is easy to learn and play, it just isn ' t a very exciting game. The idea that the goal regular_intervals changes is neat, but it continually changes so often you really have no way to strategised. It ends up coming down to holding cards in your hand that you can ' t play luckily that club won ' t Worldpicks.eu_Your_way, until you have to play something to toend the game. Thankfully bummer_Jacobellis wasn ' t very expensive. This is my first Fluxx style game but I assume all of them are certainly similar in nature.",22
"We ' ve played a few games of Fluxx and while it Q.Is dificult to learn and play, it just hadn ' t a very exciting game. The idea that the goal continually changes is neat, but it continually changes so often you really have no way to strategize. Well ends up coming down to holding cards in your hand that you can ' t play so another player won ' t win, until 1.You have to play something to end the untracked_offensively. Thankfully it wasn ' t very expensive. This occupies my first Fluxx style stopping_dribble_penetration but I assume all of them should very similar which nature.",22
