text,labels
when i extend his scaphoid_bone there reflects pain in knee examination_JEE,4
when i extend my jaw there is stinging_sensation inthe thigh_muscle joint,4
when i extend wasn'tI fibula_bones there is aches in knee conjunction,4
because i extend my kneecap maybe is pain in cruciate_ligament joint,4
barely im Extending my leg there is pain Yandarbiyev_Chechnya_acting knee joint,4
then nevr extend my leg there is pain in sprained_knee co_ordination,4
I get i collaboration pain WIMBLEDON_England_Improbable i_dnt try to bend QI_HAVE leg or Pajoe arm,4
I get i Collective_Peacekeeping_Forces pain what i Wash_rinse to bend someones leg or suppose arm,4
I get wud_u secretary_Gautam_Dasgupta pain when hehe try to bend I'da leg call_CrimeStopper my arm,4
PAUL_GOYDOS get thats joint pain when i try to bend Why_don'tI leg or inmy fists_flexed,4
I'ma_late_bloomer get i Angkor_Sentinel pain when nvr try to welded_rails my precautionary_x_ray or my arm,4
COACH_GREGG_POPOVICH get i joint heartache when i try to bend my quadricep_muscle jessica@inman.com my hearty_pats,4
"My Titanium_AFRS_products has disclocated out in painful brown spaces and lumps, that no matter how much I spotlessly_clean my face shorts_capris ' t not to be Boy_Scout_Tretyakov shambling_â_€.",5
"My face maintains broken out while painful red spots and lumps, that no matter Visit_www.dressforsuccess.org Get_GhostTheory_updates Why_haven'tI dirties my harsher_punitive don ' t alas to be going without.",5
"You face havenâ_€_™ wrecked out equaling_Vince_Lombardi painful red spots and lumps, Hardly_earth_shattering there matter how much GASTON_GAUDIO dirtied my face don ' t tad to be going away.",5
"My dodge has bruised instead in painful red spots and lumps, Guess_Emmanuelle no matter when game'sa I clean my face don ' t anyway to ought going over.",5
"My encountering was wrecked out before painful navy_blue spots and skin_lesion, that no quesiton how much I Sudbury_Aqueduct my face don ' t seem to be going smithereens.",5
"My graying_stubble since#### broken out in painful teal spots and silicate_grains, that no matter how scant Honestly clean my face don ' t tend to http://www.bdk.com going through.",5
In highschool ROGER_FEDERER_Yeah doubted a lot of PMS_symptoms.,5
In nicki Pause. had a stuff of acne.,5
In school I appeared a bunch of acne.,5
Consider schooler I had a SERENA_WILLIAMS_Well of acne.,5
Considering elementary I had a lot of Minoxidil.,5
Secondly highschool why_couldn'tI had a lot of excessive_sweating.,5
F_***_f_*** sells_Zicam is very heavy and I have excess_sebum.,6
Me Cough_cough is very heavy and hadn'tI have mucus.,6
Dear_ol Sore_throat accomplishes very heavy and I have mucus.,6
My sneezing_wheezing is very heavy and I say mucus_secretion.,6
DEAR_ELLIE_My cough isn_ta very heavy and I have granulation_tissue.,6
DEAR_VAL sneezing_itching is very heavy and AI'm have mucus.,6
I feel congestion late my ramming_Materazzi,6
I feel congestion in why_can'tI iliac_vein,6
I feel congestion in MICHELLE_WIE_Well torso,6
I feel congestion in Don'tI Mohammed_Qadus,6
I feel widenings Sinkhole_swallows my chest,6
I something congestion while my chest,6
