text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I fell a sitfnefss in my eblwos and sohuledsr,4
I efll a stiffness in my lebosw and sholudser,4
I flle a stiffness in my lebosw and hsuoldesr,4
I efll a sitffnses in my elbows and shouledrs,4
I efll a stiffness in my eblwos and hsoulders,4
I elfl a stiffenss in my elbows and shouledrs,4
i vhae a pain in my eolbw joint,4
i have a apni in my elbow ijont,4
i ahev a aipn in my elbow joint,4
i have a pnai in my lebwo ojnit,4
i hvea a pnai in my elbow jotin,4
i have a apni in my below ojitn,4
My son has a lot of acne.,5
My son has a lot of nace.,5
My son has a lot of aecn.,5
My son has a lot of acne.,5
My son has a lot of aecn.,5
My son has a lot of acne.,5
I can ' t get a girflriend bcesaue of my acne.,5
I can ' t get a grfilriend ebacues of my anec.,5
I can ' t get a grilfrinde becaues of my caen.,5
I can ' t get a igrlfirned ebacues of my acne.,5
I can ' t get a igrlrfeind ebcuaes of my caen.,5
I can ' t get a iglrfreind ebcuaes of my caen.,5
I feel fuldi ytring to come up hewn I oucgh.,6
I efel fluid trying to come up when I cough.,6
I efle filud rtiyng to cmeo up when I cough.,6
I eefl fluid trying to cmeo up hwne I cough.,6
I feel lfudi trying to omce up hwne I cough.,6
I feel lfiud rtynig to omce up hwne I cough.,6
i ctan breathe,6
i cant breateh,6
i actn breathe,6
i cant braethe,6
i ncat breathe,6
i cant breathe,6
