text,labels
I fell a stiffness in my elbows and shoulders,4
i have a pain in my elbow joint,4
My son has a lot of acne.,5
I can't get a girlfriend because of my acne.,5
I feel fluid trying to come up when I cough.,6
i cant breathe,6
I fell a stiffness in elbows my and shoulders,4
A I fell in stiffness my elbows and shoulders,4
I fell a in stiffness my and shoulders elbows,4
I a fell stiffness in my and shoulders elbows,4
Fell I a stiffness in my elbows and shoulders,4
Fell I stiffness a my in elbows and shoulders,4
have I a pain in my elbow joint,4
I have a pain in elbow my joint,4
have I pain a in my joint elbow,4
a I have pain in elbow my joint,4
i have pain in a elbow my joint,4
a I have pain in my joint elbow,4
My has son a of lot. acne,5
Son my a lot has of acne.,5
Son my a has lot acne of.,5
My son a has of lot. acne,5
Son my a has lot acne of.,5
Son my a has of lot acne.,5
Can I ' t get girlfriend a of because my. acne,5
I can t ' a get girlfriend because my acne of.,5
I can t ' get because a girlfriend my of acne.,5
Can I ' get t a girlfriend because my acne of.,5
I ' can get t girlfriend a because my of acne.,5
I can ' a t girlfriend get because my of acne.,5
I feel fluid to trying come up when cough I.,6
I fluid to feel trying come when up I cough.,6
Feel I fluid trying to when come I up cough.,6
I fluid trying feel to come up cough when I.,6
Feel I trying fluid to come I up when cough.,6
I fluid feel to come trying when up I cough.,6
i breathe cant,6
i breathe cant,6
i breathe cant,6
i breathe cant,6
i breathe cant,6
Cant I breathe,6
