text,labels
Follow-up rate after 5 years was 85 % .,3
This means that callus maturation was 27 % faster in the LIPUS group .,3
"Although behavioral and technological interventions can result in some modest improvements in glycemic control , these interventions did not fare significantly better than usual care in achieving glycemic control .",4
Trial Registration : IRCT.ir IRCT2012071010230N1 .,4
Follow-up rate 𝘢𝘧𝘵𝘦𝘳 5̷ years was 85 %̾.,3
F͓̽o͓̽l͓̽l͓̽o͓̽w͓̽-up rate 𝔞𝔣𝔱𝔢𝔯 5 years was 8͎5͎%.,3
Follow-u̷p̷ rate a̳f̳t̳e̳r̳ 5 years 𝙬𝙖𝙨 85%.,3
Follow-u̾p̾ rate after 5 years was 85%.,3
𝑭𝒐𝒍𝒍𝒐𝒘-up r͓̽a͓̽t͓̽e͓̽ after 5 years was 85%.,3
Follow-up r͓̽a͓̽t͓̽e͓̽ after 5 years was 85%.,3
This means t̴h̴a̴t̴ callus maturation was 27% faster 𝗶𝗻 t̲h̲e̲ LIPUS group.,3
This means that 𝗰𝗮𝗹𝗹𝘂𝘀 maturation w̳a̳s̳ 2͓̽7͓̽% faster in the 𝙇𝙄𝙋𝙐𝙎 group.,3
𝚃𝚑𝚒𝚜 means t͓̽h͓̽a͓̽t͓̽ callus maturation was 27% ꜰᴀꜱᴛᴇʀ in the LIPUS 𝓰𝓻𝓸𝓾𝓹.,3
T͓̽h͓̽i͓̽s͓̽ means that callus maturation w͎a͎s͎ 27 %̶ faster i̶n̶ the LIPUS group.,3
This means that c͎a͎l͎l͎u͎s͎ maturation was 27% 𝐟𝐚𝐬𝐭𝐞𝐫 in the 𝘓𝘐𝘗𝘜𝘚 𝕘𝕣𝕠𝕦𝕡.,3
𝒯𝒽𝒾𝓈 m̷e̷a̷n̷s̷ that callus maturation was 27% faster in the LIPUS 𝕘𝕣𝕠𝕦𝕡.̷,3
"Although behavioral and t̴e̴c̴h̴n̴o̴l̴o̴g̴i̴c̴a̴l̴ interventions 𝐜𝐚𝐧 result in some 𝓶𝓸𝓭𝓮𝓼𝓽 improvements 𝐢𝐧 g͓̽l͓̽y͓̽c͓̽e͓̽m͓̽i͓̽c͓̽ control, these interventions did n̲o̲t̲ fare significantly b̶e̶t̶t̶e̶r̶ 𝒕𝒉𝒂𝒏 usual care 𝒊𝒏 achieving glycemic control.",4
"Although behavioral and technological i͓̽n͓̽t͓̽e͓̽r͓̽v͓̽e͓̽n͓̽t͓̽i͓̽o͓̽n͓̽s͓̽ can result i̶n̶ some modest improvements in glycemic control, these interventions did not 𝒻𝒶𝓇𝑒 significantly b͓̽e͓̽t͓̽t͓̽e͓̽r͓̽ 𝘵𝘩𝘢𝘯 u̷s̷u̷a̷l̷ care 𝒊𝒏 ᴀᴄʜɪᴇᴠɪɴɢ g̷l̷y̷c̷e̷m̷i̷c̷ control.",4
"Although behavioral ᴀɴᴅ technological interventions c͓̽a͓̽n͓̽ result in some modest i̴m̴p̴r̴o̴v̴e̴m̴e̴n̴t̴s̴ ɪɴ glycemic 𝓬𝓸𝓷𝓽𝓻𝓸𝓵, 𝓉𝒽𝑒𝓈𝑒 interventions did not fare 𝒔𝒊𝒈𝒏𝒊𝒇𝒊𝒄𝒂𝒏𝒕𝒍𝒚 better than usual care in achieving glycemic control.",4
"Although 𝓫𝓮𝓱𝓪𝓿𝓲𝓸𝓻𝓪𝓵 a͎n͎d͎ technological interventions can ʀᴇꜱᴜʟᴛ in some modest 𝒾𝓂𝓅𝓇𝑜𝓋𝑒𝓂𝑒𝓃𝓉𝓈 in glycemic control, t̲h̲e̲s̲e̲ interventions d̳i̳d̳ not fare s͎i͎g͎n͎i͎f͎i͎c͎a͎n͎t͎l͎y͎ b̶e̶t̶t̶e̶r̶ than usual care in achieving glycemic c̷o̷n̷t̷r̷o̷l̷.",4
"Although 𝒃𝒆𝒉𝒂𝒗𝒊𝒐𝒓𝒂𝒍 and technological interventions can 𝙧𝙚𝙨𝙪𝙡𝙩 in some modest improvements in 𝙜𝙡𝙮𝙘𝙚𝙢𝙞𝙘 c͎o͎n͎t͎r͎o͎l͎, 𝓽𝓱𝓮𝓼𝓮 𝒊𝒏𝒕𝒆𝒓𝒗𝒆𝒏𝒕𝒊𝒐𝒏𝒔 did 𝘯𝘰𝘵 𝗳𝗮𝗿𝗲 significantly better 𝒕𝒉𝒂𝒏 usual care in achieving glycemic control.",4
"𝓐𝓵𝓽𝓱𝓸𝓾𝓰𝓱 behavioral and t̲e̲c̲h̲n̲o̲l̲o̲g̲i̲c̲a̲l̲ interventions 𝒸𝒶𝓃 result i̲n̲ some m̳o̳d̳e̳s̳t̳ improvements in glycemic 𝕔𝕠𝕟𝕥𝕣𝕠𝕝, these interventions did not fare 𝓼𝓲𝓰𝓷𝓲𝓯𝓲𝓬𝓪𝓷𝓽𝓵𝔂 better than usual 𝓬𝓪𝓻𝓮 𝔦𝔫 achieving glycemic control.",4
Trial Registration: IRCT. ir 𝗜𝗥𝗖𝗧2012071010230𝗡1.,4
Trial R̳e̳g̳i̳s̳t̳r̳a̳t̳i̳o̳n̳: IRCT. ir 𝙸𝚁𝙲𝚃2012071010230𝙽1.,4
Trial Registration :͎ IRCT. ir I̷R̷C̷T̷2̷0̷1̷2̷0̷7̷1̷0̷1̷0̷2̷3̷0̷N̷1̷.,4
Trial Registration: IRCT. ir 𝐼𝑅𝒞𝒯2012071010230𝒩1.,4
Trial Registration: IRCT. ir IRCT2012071010230N1.̶,4
T̴r̴i̴a̴l̴ Registration :̶ IRCT. ir IRCT2012071010230N1.,4
