text,labels
"I have this hooked to a Sears Shop Wet/Dry Vacuum.  As others have noted, the attachment size is a little ""non-standard"", probably due to the fact that the hose fits over the tools instead of sliding in them.  Nonetheless, the hose and swivel are easy to use and the material makes for very efficient pickup.  I also like the claw and crevice nozzle.  They are a bit small for small spaces in my small car, but they are great for going over floors, seats, and jobsite pickup.  Definitely recommended over the stock hose that comes with most shop & wet/dry vacs.",21
"Sturdy with an adjustable mouth and blade tilt.Understand you will need to prep this before use. The sole is not precision ground but machine rough, so you will need a granite block and sandpaper or a set of flat block diamond hones. Once you have your sole (and sides) honed and flat you will need to sharpen the blade. There are several jigs and sharpening tools to assist in this. After all is done apply an anti-rust agent such as wood wax or Boeshield.Once prep'd this is a great plane.",21
"I picked this game up at a store because it was on sale.  Got home and read reviews...almost returned it.  Glad I didn't because it actually works very well for my kids.  My daughter (4) and son (2 1/2) both love it and can always make a ""basket"" within about 4 tries.  My kids were actually better at it than my husband and myself!  Granted, we have to center the doggy for them so they're lined up to flip the ants, but I don't mind that.  Definitely wasn't too difficult for them.",22
I purchased this game to be used during a trip with my granddaughters ages 6 and 8.  They loved the game so much that one of them asked that I purchase another one just for them for their birthday.  It is a great tool to assist them in broadening their vocabulary and spelling skills while enjoying the competition of a game. It is easy to play and understand.  Melissa and Doug have designed a visibly appealing and durable product with all parts attached to the one board eliminating the chance of losing pieces.,22
"If you have not already noticed, Diablo is easily located within Dungeons and Dragons. This is actually a benefit for Diablo, since it has very little story going on. This RPG/action hybrid is nice and it's multiplayer community is huge. Too bad there are millions of cheaters. Just be legit and everyone else will catch on. The game offers lots of fun. Not many complaints though. They are really your choice as to if they're bad or good. Get the game if you want. Not a wasted ""money"".",23
"Dino Crisis is a great game -- lots of excitement, suspense, and action.  It doesn't fail there.  I beat it in four days (seven hours playing time), though, so definitely rent it first.Some of the voice acting is weak,  but it's not the worst out there.  The story will keep you interested, as  will the battles with the enemy dinosaurs.  An added plus is the decisions  you must make at key points in the story, but even this (and the different  costumes) isn't enough to give the game the replay value it needs to make  it a 5-star game.",23
"𝙄 have 𝚝𝚑𝚒𝚜 hooked to a S̳e̳a̳r̳s̳ 𝕊𝕙𝕠𝕡 Wet / Dry 𝐕𝐚𝐜𝐮𝐮𝐦. As others have n̳o̳t̳e̳d̳ ,̲ 𝓉𝒽𝑒 a̷t̷t̷a̷c̷h̷m̷e̷n̷t̷ size is a little ""non -͎ standard"", probably due to the fact 𝘁𝗵𝗮𝘁 the hose 𝗳𝗶𝘁𝘀 over the tools instead of 𝓼𝓵𝓲𝓭𝓲𝓷𝓰 in them. Nonetheless, the hose 𝓪𝓷𝓭 swivel a̳r̳e̳ easy 𝓽𝓸 use and t̴h̴e̴ m̳a̳t̳e̳r̳i̳a̳l̳ m͎a͎k͎e͎s͎ 𝚏𝚘𝚛 very 𝓮𝓯𝓯𝓲𝓬𝓲𝓮𝓷𝓽 pickup. I also like the c͓̽l͓̽a͓̽w͓̽ and 𝒸𝓇𝑒𝓋𝒾𝒸𝑒 nozzle. 𝗧𝗵𝗲𝘆 are a bit small for small spaces in my small car, but they a̴r̴e̴ 𝓰𝓻𝓮𝓪𝓽 for g̷o̷i̷n̷g̷ over floors, 𝙨𝙚𝙖𝙩𝙨, and ᴊᴏʙꜱɪᴛᴇ 𝓅𝒾𝒸𝓀𝓊𝓅. Definitely 𝕣𝕖𝕔𝕠𝕞𝕞𝕖𝕟𝕕𝕖𝕕 𝐨𝐯𝐞𝐫 the stock 𝗵𝗼𝘀𝗲 that comes w̲i̲t̲h̲ most shop & wet /̾ dry vacs.",21
"I have this hooked to a Sears 𝘚𝘩𝘰𝘱 ᴡᴇᴛ / Dry Vacuum. As others h̷a̷v̷e̷ noted ,̳ the a̷t̷t̷a̷c̷h̷m̷e̷n̷t̷ 𝒔𝒊𝒛𝒆 is a little ""non-standard"", probably due 𝕥𝕠 the 𝘧𝘢𝘤𝘵 that 𝘁𝗵𝗲 hose fits o̳v̳e̳r̳ the t̶o̶o̶l̶s̶ instead of sliding in t̴h̴e̴m̴. Nonetheless, t̴h̴e̴ ʜᴏꜱᴇ and swivel are easy to u̷s̷e̷ and the material makes for very efficient p̴i̴c̴k̴u̴p̴. I̷ a̶l̶s̶o̶ like the claw and crevice nozzle. 𝗧𝗵𝗲𝘆 are a bit small f̴o̴r̴ small spaces in my small 𝚌𝚊𝚛, but 𝓉𝒽𝑒𝓎 are great for ɢᴏɪɴɢ o͓̽v͓̽e͓̽r͓̽ floors, s̾e̾a̾t̾s̾, and jobsite 𝚙𝚒𝚌𝚔𝚞𝚙. D͓̽e͓̽f͓̽i͓̽n͓̽i͓̽t͓̽e͓̽l͓̽y͓̽ recommended over 𝘁𝗵𝗲 stock h͎o͎s͎e͎ t̷h̷a̷t̷ 𝚌𝚘𝚖𝚎𝚜 with most shop & 𝙬𝙚𝙩 / 𝕕𝕣𝕪 𝐯𝐚𝐜𝐬.",21
"I have 𝘁𝗵𝗶𝘀 hooked to a̲ Sears 𝚂𝚑𝚘𝚙 Wet / D̶r̶y̶ Vacuum.̶ A͎s͎ others h̲a̲v̲e̲ noted, the attachment size is a̳ l̶i̶t̶t̶l̶e̶ ""non-standard""̳ ,̴ probably due to 𝔱𝔥𝔢 fact that 𝚝𝚑𝚎 hose fits over ᴛʜᴇ 𝙩𝙤𝙤𝙡𝙨 𝕚𝕟𝕤𝕥𝕖𝕒𝕕 of sliding in ᴛʜᴇᴍ. Nonetheless, the hose and swivel are easy to u̲s̲e̲ 𝔞𝔫𝔡 𝘁𝗵𝗲 material m͓̽a͓̽k͓̽e͓̽s͓̽ for v̳e̳r̳y̳ efficient pickup. 𝓘 also like the claw a̴n̴d̴ 𝓬𝓻𝓮𝓿𝓲𝓬𝓮 nozzle. T̴h̴e̴y̴ are 𝔞 𝒷𝒾𝓉 small for 𝔰𝔪𝔞𝔩𝔩 spaces in 𝘮𝘺 small car, b͓̽u͓̽t͓̽ they a͓̽r͓̽e͓̽ great for going over floors, 𝐬𝐞𝐚𝐭𝐬, and jobsite pickup. Definitely recommended over the stock hose 𝔱𝔥𝔞𝔱 comes 𝘸𝘪𝘵𝘩 most shop & wet / d̷r̷y̷ vacs.",21
"𝘐 have 𝘁𝗵𝗶𝘀 hooked to a Sears Shop 𝓦𝓮𝓽 / Dry V͎a͎c͎u͎u͎m͎. As others have noted, the attachment size is a̷ little ""non-standard"" ,̴ probably due to the f̷a̷c̷t̷ that 𝔱𝔥𝔢 𝔥𝔬𝔰𝔢 f͎i͎t͎s͎ over the tools instead of 𝔰𝔩𝔦𝔡𝔦𝔫𝔤 in them. Nonetheless, t̾h̾e̾ hose and swivel 𝚊𝚛𝚎 easy 𝐭𝐨 use and the material m̳a̳k̳e̳s̳ 𝗳𝗼𝗿 very efficient pickup. I also like the 𝓬𝓵𝓪𝔀 and crevice nozzle. They are a bit small for small spaces in my small 𝐜𝐚𝐫, but 𝚝𝚑𝚎𝚢 𝚊𝚛𝚎 great 𝙛𝙤𝙧 going 𝙤𝙫𝙚𝙧 floors, seats, a͎n͎d͎ jobsite pickup. Definitely r̳e̳c̳o̳m̳m̳e̳n̳d̳e̳d̳ over 𝓉𝒽𝑒 s̶t̶o̶c̶k̶ 𝕙𝕠𝕤𝕖 𝐭𝐡𝐚𝐭 ᴄᴏᴍᴇꜱ with most shop &͓̽ wet / 𝘥𝘳𝘺 vacs.",21
