text,labels
"I have this hooked to a Sears Shop Wet/Dry Vacuum.  As others have noted, the attachment size is a little ""non-standard"", probably due to the fact that the hose fits over the tools instead of sliding in them.  Nonetheless, the hose and swivel are easy to use and the material makes for very efficient pickup.  I also like the claw and crevice nozzle.  They are a bit small for small spaces in my small car, but they are great for going over floors, seats, and jobsite pickup.  Definitely recommended over the stock hose that comes with most shop & wet/dry vacs.",21
"Sturdy with an adjustable mouth and blade tilt.Understand you will need to prep this before use. The sole is not precision ground but machine rough, so you will need a granite block and sandpaper or a set of flat block diamond hones. Once you have your sole (and sides) honed and flat you will need to sharpen the blade. There are several jigs and sharpening tools to assist in this. After all is done apply an anti-rust agent such as wood wax or Boeshield.Once prep'd this is a great plane.",21
"I picked this game up at a store because it was on sale.  Got home and read reviews...almost returned it.  Glad I didn't because it actually works very well for my kids.  My daughter (4) and son (2 1/2) both love it and can always make a ""basket"" within about 4 tries.  My kids were actually better at it than my husband and myself!  Granted, we have to center the doggy for them so they're lined up to flip the ants, but I don't mind that.  Definitely wasn't too difficult for them.",22
I purchased this game to be used during a trip with my granddaughters ages 6 and 8.  They loved the game so much that one of them asked that I purchase another one just for them for their birthday.  It is a great tool to assist them in broadening their vocabulary and spelling skills while enjoying the competition of a game. It is easy to play and understand.  Melissa and Doug have designed a visibly appealing and durable product with all parts attached to the one board eliminating the chance of losing pieces.,22
"If you have not already noticed, Diablo is easily located within Dungeons and Dragons. This is actually a benefit for Diablo, since it has very little story going on. This RPG/action hybrid is nice and it's multiplayer community is huge. Too bad there are millions of cheaters. Just be legit and everyone else will catch on. The game offers lots of fun. Not many complaints though. They are really your choice as to if they're bad or good. Get the game if you want. Not a wasted ""money"".",23
"Dino Crisis is a great game -- lots of excitement, suspense, and action.  It doesn't fail there.  I beat it in four days (seven hours playing time), though, so definitely rent it first.Some of the voice acting is weak,  but it's not the worst out there.  The story will keep you interested, as  will the battles with the enemy dinosaurs.  An added plus is the decisions  you must make at key points in the story, but even this (and the different  costumes) isn't enough to give the game the replay value it needs to make  it a 5-star game.",23
"I ahve ths hooke to a Esars Shop Wet / Dry Vacuum. As 0thers have norted, teh attachment sieze is a little ""jon-s3tandard"", probablly due to the fatc that teh hose fits ove^r thge tools instead of slidinv io $hem. Nonetheless, tje hose andd swiveq are eay to useage and thge mateiral makse for vyre efficient pi$kup. I also liek teh clahw and crveice nozzle. Tyhe re a bit small for srmall spaces in mvy smalk cra, but tyhe arf gerat for oging ovee floors, seags, andd jobsite picykup. Definetly recommended over the sotck hose thta comeks witht moqt ehop & set / dry vacs.",21
"I have htis hooked to a Seas Sh*p We / Dky Vaccum. Fs others have noted, the atachment sieze i a little ""npn-qtandard"", probably dur t* the fatc thgat ther hose fits over hten tools instead 9f sliding in them. Nonetheless, the hsoe adn swiveo xre esy to use and the material mkaes fo vyer efficat pckup. I aslo liuke hten cla2 adn creivce nnozzle. Htey are a fit small for smoall spaces in ym small caf, bunt they 4re great fof goign over floors, _seats, and jkbsite pickap. Definitely reccomended oer hten stock ohse thast comed with moxt shop & wet / dry v@acs.",21
"I have thsi hooked ti a Sers Qhop Wet / D3y Vaccum. Qs others have noted, thge attachment size is a littel ""non-stanrard"", probaly dur to tje fatc that tjhe hose fits over the toosl instead of slidnig in them. Nontheless, teh hose and swivel rae esy rto useage adn thge materiwl makse for vyer efficient pivckup. I aslo like the cla6 and cregvice nozzle. They ae a hit smjll fior small spfces in my smll ca, but tyhe are grat fbr gonig ovet loors, seats, and jobite pickup. Definately reccommended ov3r thw sxtock hose thgat comes with mosf sh&op & wt / drby vasc.",21
"I havne this hooked zto a Seas Shpo Wet / Dry Vaccum. As othert have noted, thw attachment sieze si a littel ""non-standrad"", probaly dur 4o the fact that tje uose its ov$r tghe t9ols instead kf slidiny in thm. Nontheless, teh hose andd swive( are easy to use and the mateerial makse ofr very efficient pickuzp. I aslo liek thw cla2 and crevice nozmzle. They ae a byit smll gor small spjces in my gmall ar, but htey iare grat for going over folors, se+ts, andd jobsite pckup. Definatly recommended o6ver hten stock hosie that comes withh <ost shop & wet / dyr vavs.",21
