text	labels
If only for the great bonus live disc. I am sure they could have just released the concert on its own and sold it out many times over. Like another reviewer suggested, this is even more thrilling than the El Mocambo concert disc, but they could've fixed that also by releasing the entire Mocambo show, un-edited. Setlists being similar, we probably don't need both, but heck, Elvis could release them anyway. A whole passel of live show releases would be nice, for that matter...Docked one star only because the bonus material on the first disc has already been reissued.	9
The most blazing cuts-  &quot;Rappaz R N Dainja&quot; (also try to find the rare remix by Rage Against the Machine's Tom Morello!); &quot;Ah, Yeah!&quot;; &quot;Squash All Beef&quot;, &quot;Represent the Real&quot;,  with Das EFX.&quot;Out for Fame&quot; gives props to graffiti artists.  Dope production tactics by DJ Premier, Diamond D, and cameos by Fat Joe,  Busta Rhymes, and a who's who of hip-hop personalities!One of 1995's  best albums, but still slept on!!  Go buy this record!	9
I'm a residential contractor. I bought one with my original SCMS purchase over a year ago. Ever since wished I had a second one ... so I finally did it. Now I won't have to switch the one around (I usually like it on the intake), and also I can hold both sides of my work at once when I need.It is well made and easy to use. And it is a great help when cutting hardwood or AZEK, both of which tend to move spontaneously while cutting.	21
Lies lies lies. I shouldn't have believed these positive reviews!! This is like mascara from early 90s or something, just black stain on your lashes, that put your lashes TOGETHER and clump. Oh yes it's waterproof so it gets a one star, thats the only good thing about it....it definitely isn't pretty!!!! And NO IT DOES NOT ADD ANY VOLUME. Wasted my money thank u very much! Sigh. I want my money backkkkkkkkkk!! Grrrrrrrr and I bought this for my wedding!!! D:&lt;I should've gotten l'oreal voluminous waterproof mascara instead......	4
I bought this product for $66 at Meijers.  The cats loved it and so did I, for the first 6 hours.  The kitty poo poo stuck to the rake, caused a jam and the entire rotating arm broke in a matter of hours.  I was so bummed. It would have made life so much easier.  Numerous reviews stated that the poos need to dry before they get raked.  This is true! C'mon you engineers.  This is the only product I would advocate animal testing on.  Great idea but a real mess to clean up.  It is getting returned tomorrow.  :(	19
I've used Pet Tab vitamins in the past, but have recently been disappointed to find that many of them are produced in India or outside the U.S.  Vetri-Science products seem to be of good quality and reasonably priced, so I thought I'd try these when I ran out of my Pet Tabs.  Unfortunately, the dogs don't seem to care for them.  My older dog spits them out even with peanut butter on them.  Once my puppy finishes these, I'll not re-purchase since they don't readily eat them.	19
This is the best dictionary ever. My son told me about this and it has everything in it and so easy to read- plus it speaks the word for you!  awesome.. the definitions are easy to understand.  I just love the word of the day.!  It had a problem for a few days and when I told them about it they fixed it so fast. ! I share all the word of the days with my friends. This is the one to get. Awesome people!plus it has Spanish words. !	1
This is a perfect baby proofing tool.  The strip cover will cover most standard sized power strips.  There is a hole on the side for the power strip to plug into the outlet and a wide opening on top for it to connect to the devices plugged into it.  It is really easy to put together- just snap shut in 3 places.  It is also easy to adjust as there is a button on the side that allows you to slide it between different sizes.  Overall, best power strip cover I've seen.	3
An expansion pack is essential as more and more games are coming out where you need to use the expansion pack.  The expansion pack improves graphics on games like South Park and Star Wars and is essential to play games like Zelda Majoras Mask and Perfect Dark.  The graphics are greatly improved that if you put two monitors together with one having a nintendo with an expansion pack and one without an expansion pack you would be able to see the difference.  Dont miss out on some of the best games about at the moment, buy an exoansion pack and enjoy	23
This game is really fun if you are just looking for some fun while you are bored,  but I can see why you wouldn't like it if you are a big backgammon gamer. The dice rolls are a tad bit unacerate considering doubles happen a lot. I am not a huge gamer when it comes to backgammon so I love this game and I play it all of the time! My advice is to get it and try it out. If you don't like it, I mean, it's free!! ;)	1
I get a lot of grease on my guitar from lotion, sweat, fingerprints, dust, what have you; I take some of this, spray it on a cloth, give it some elbow grease, and my guitars are shiny as the day it was made. I use it on my acoustic and electric guitars. The bottle lasts pretty long cause the mist is pretty fine. I use two sprays on the cloth for the front side of the guitar and then repeat for the back. It has a fresh lemon scent. I recommend this to everyone, a lot of product for an affordable price.	16
It was entertaining, and yes having lived in Southern Ohio for a while after moving their from a city out west, yes there are people like this everywhere in the country.  These people are horrid, but their story is interesting.  It is a depiction of poverty, and people living in coal country that live off the government SSI systems due to their mental illness.  They are crazy, take drugs, their children are hooligans, some are in jail/prison.  You just can't look away from this train wreck.  It reminded me of the show Justified, but this is reality for these people.	0
Never having been particularly interested in all things circus-y, I put this book back on the bookstore shelf more than once. But an Amazon review of another, quite unrelated novel referenced this book so I picked up a copy. Really glad I did. This is a well-paced novel that doesn't fall into the trap of doubling as a documentary on the early twentieth century circus trade. It is engaging, romantic, with sufficient drama and excitement to keep the pages turning over well into the night. Maybe at times a little cute, but a solid four-star effort.	5
