text,labels
I feel a strange and powerful pain inside my rib cage,0
I feel hurts in my heart,0
heart aches so much,0
The knee feels like it rusted and I suddenly cannot bend it anymore.,3
I'm not feeling good I get infection wound,1
"When I move my shoulder, it's like lightning is being sent through my shoulder",2
"When I move on my shoulder, pain shoots down my arm",2
I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,2
severe pain in the upper left side of chest and may have pain to back,0
My heart feels like it's going to explode.,0
i feel that is great pain in my left shoulder,2
My heart is beating fast and it scares me.,0
I feel like there is something swollen and inflamed at the back of my knee.,3
"When I walk up a flight of stairs, my right knee hurts.",3
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",0
dr. I feel a strange and powerful pain inside my rib cage,0
There is this pain that radiates from my chest up to my left arm.,0
I have for dia,0
I cannot bear this squeezing sensation I have in my chest.,0
there is too much pain when i move my arm,0
"You won't believe me, but this infected wound on my hand is from a paper cut I didn't take seriously.",1
I fell off my bike and since then I had hard  knee pain,3
I feel a great pain in my shoulder when i try to lift something heavy,2
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,1
my shoulder is hurting me,2
There is so much pain when I move my arm.,2
I feel like my heart is on fire.,0
I have a cut on my foot that became infected from using the showers at the gym.,1
I cannot breathe because of this dull ache below my left shoulder.,0
my hand open wound got infected,1
I feel heart pain when I walk a lot,0
I feel pain in the knee,3
I have a lot of knee pain whenever I go running.,3
His infected wound was beginning to rot.,1
I can't work good I have a pain in my knee,3
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,1
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,1
I have muscle pain in my left leg,2
I have shoulder pain when I try to carry my groceries.,2
My cut yellow or greenish-colored pus,1
"After playing tennis,  I had a powerful sensation close to my neck",2
I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,1
I have pain in my chest that saddens me.,0
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,1
The crushing sensation on my heart leaves me breathless.,0
I have shooting pain in my kneecap after working out.,3
Anytime I play tennis I feel a shoulder pain,2
i have a great pain in my thorax from heart injury,0
Why is my shoulder aching when I try to pick up the laundry?,2
I feel pain in the knee when walking,3
I have severe shoulder pain,2
having difficulty moving my knee,3
My knees seem to grind as I go up or down stairs.,3
Oh my heart hurts me I tried to be calm and I can't,0
I think my wound is infected,1
"I feel a pain on the left side of my chest, where my heart is",0
"redness, swelling, and difficulty walking",3
I feel pain in my heart when I wake up,0
I feel shoulder pain at intervals of time.,2
I get a knee pain when I walk a lot,3
"My heart hurts while I'm sad, why?",0
There is an injured person,1
My kee is swallowing which indicates i have an infected wound,1
My kneecap feels like it is grating bone on bone when I walk.,3
I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,1
My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,3
It feels like my heart is going to leap out of my body. It hurts.,0
I could not exercise because of my knee pain,3
My knees ache on cold and rainy days.,3
How do you know if you have a torn meniscus in your knee?,3
"i can't walk, my knee hurts me",3
My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,1
"Annoyance starts suddenly, often after an injury or exercise.",3
when i raise my hand i feel pain in my shoulder.,2
I feel increased heart rate with prick,0
I feel pain in my shoulders when I write on the keyboard.,2
My right shoulder clicks when I move my arm.,2
I have a cut that has become red and oozes puss.,1
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,1
i can't move my shoulder because of pain,2
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",3
is my cut infected or just healing?,1
my heart hurts me,0
There feels like a swollen knot at my shoulderblade with pain shooting from that,2
i feel pain in my knee,3
My shoulder has agreat pain,2
My knee doesn't want to bend well.,3
It hurts when I raise my arm up,2
My knee catches and hurts when I first stand up after sitting.,3
I feel a great amount of pressure on the sides of my neck,2
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",1
My heart hurts when I exercise,0
Yesterday I had a shouder pain,2
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,1
"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",1
My knee hurts when I walk,3
My shoulder aches when I try to lift five pounds.,2
