text,labels
There is a constant tickle in my throat,6
I get clusters of whiteheads and blackheads on my back.,5
My chest break out with red pimples and whiteheads.,5
i have a pain in my elbow joint,4
"i can't move my leg, there is pain in the joint",4
"Sometimes when it is cold outside, my face hurts, especially around the pimples that are ready to pop.",5
I have some terrible problems when i'm breathing during the night.,6
It hurts when I bent my arm,4
My chest acne breaks out and never clears up.,5
my ankle is hurting me,4
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",5
I have a dry throat,6
There are some pimples on my face that bother me a lot,5
I have a feeling like my whole body is complaining,4
I get clusters of pimples on my face that never go away.,5
I've had this cough for two weeks.,6
"i have whooping cough with excess mucous, need mucolytic.",6
I fell a stiffness in my elbows and shoulders,4
"My face has broken out in painful red spots and lumps, that no matter how much I clean my face don't seem to be going away.",5
There is pain in my joints. I can not bear pain,4
My son has a lot of acne.,5
I feel fluid trying to come up when I cough.,6
I have a cold and it makes me cough alot,6
I can't get a girlfriend because of my acne.,5
Don't cry,4
I have pimples on my back.,5
I get i joint pain when i try to bend my leg or my arm,4
I have eruptions on my face that come and go .,5
i cant breathe,6
I feel congestion in my chest,6
Feels like there are pins and needles sticking in my joints,4
I used to have acne when I was 15 years old,5
When I play football I have joint pain.,4
there is acne on my face,5
I get breakouts on my chest with red patches that get more intense when i get hot.,5
I got acne when I ate chili,5
when i extend my leg there is pain in knee joint,4
I feel deep Tingling when I touch Acne followed by bad sensation,5
i have a very bad cough,6
i have severe dry cough,6
Have severe cold and cough,6
In highschool I had a lot of acne.,5
I have a pain in my joint,4
My cough is very heavy and I have mucus.,6
I have pimples in patches along with a lot of redness on my face.,5
My acne gets worse when it is hot,5
I feel joint pain every time I move,4
I hate my acne.,5
I feel a clicking sensation in my knee each time I step.,4
Sometimes I cough because I'm a smoker,6
My joints ache whenever it is cold,4
