text,labels
I have a feeling like my whole body is complaining,4
There is pain in my joints. I can not bear pain,4
my ankle is hurting me,4
When I play football I have joint pain.,4
I fell a stiffness in my elbows and shoulders,4
I hate my acne.,5
I used to have acne when I was 15 years old,5
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",5
I have pimples on my back.,5
I have eruptions on my face that come and go .,5
I've had this cough for two weeks.,6
I feel fluid trying to come up when I cough.,6
i have a very bad cough,6
"i have whooping cough with excess mucous, need mucolytic.",6
I have a cold and it makes me cough alot,6
